,Total Length,Num Contigs,Num Contigs > 100 kb,Num Contigs > 50 kb,Num Contigs > 20 kb,Num Contigs > 10 kb,Num Contigs > 5 kb,Num Contigs > 2.5 kb,Longest Contig,Shortest Contig,Mean Contig Length (trim 10%),L50,L75,L90,N50,N75,N90,Num Genes,Avg Gene Length,Avg Gene Length (trim 10%),Min Gene Length,Max Gene Length,Bacteria_71,Ribosomal_RNA_16S,bacteria (Bacteria_71)
P2584_Sourdough_BE,3292250.0,137.0,11.0,16.0,27.0,37.0,42.0,48.0,452762.0,105.0,7096.28,6.0,13.0,24.0,156785.0,89232.0,28553.0,3196.0,871.83,787.65,66.0,8754.0,72.0,1.0,1.0
P2600_Strawberry_BE,3201422.0,48.0,9.0,16.0,21.0,22.0,23.0,26.0,665995.0,105.0,33950.95,3.0,9.0,15.0,365646.0,118044.0,55177.0,3039.0,891.63,805.96,78.0,8754.0,72.0,1.0,1.0
P2603_Strawberry_BE,3202006.0,39.0,10.0,13.0,17.0,18.0,19.0,21.0,665995.0,105.0,45925.06,3.0,7.0,11.0,365646.0,140140.0,80405.0,3033.0,893.17,807.33,90.0,8754.0,72.0,1.0,1.0
P2604_Strawberry_BE,3202007.0,39.0,10.0,13.0,17.0,18.0,19.0,21.0,665995.0,105.0,45925.09,3.0,7.0,11.0,365646.0,140140.0,80405.0,3035.0,892.7,806.91,78.0,8754.0,72.0,1.0,1.0
P2617_FreshMango_BE,3197134.0,35.0,9.0,11.0,14.0,15.0,15.0,17.0,835694.0,105.0,45844.21,3.0,6.0,9.0,365646.0,173680.0,126724.0,3029.0,893.72,807.99,78.0,8754.0,72.0,1.0,1.0
P2620_FreshMango_BE,3197204.0,35.0,9.0,11.0,14.0,15.0,15.0,17.0,835694.0,105.0,45846.59,3.0,6.0,9.0,365646.0,173680.0,126695.0,3031.0,893.28,807.44,78.0,8754.0,72.0,1.0,1.0
P2709_Sourdough_BE,3201448.0,74.0,8.0,15.0,29.0,33.0,37.0,41.0,649251.0,105.0,20743.7,5.0,12.0,22.0,156785.0,80764.0,37220.0,3051.0,888.65,804.42,78.0,8754.0,72.0,1.0,1.0
P2715_MarsSourdough_BE,3225549.0,35.0,9.0,11.0,14.0,15.0,15.0,17.0,835694.0,105.0,46824.03,3.0,6.0,9.0,365646.0,187402.0,126695.0,3055.0,889.76,803.65,78.0,8754.0,72.0,1.0,1.0
P2716_MarsSourdough_BE,3219868.0,34.0,9.0,11.0,14.0,15.0,15.0,17.0,835694.0,105.0,48293.39,3.0,6.0,9.0,365646.0,187402.0,126695.0,3050.0,890.47,804.4,78.0,8754.0,72.0,1.0,1.0
P2731_FreshMango_BE,3219850.0,39.0,10.0,12.0,16.0,18.0,18.0,20.0,665995.0,105.0,46466.0,3.0,7.0,11.0,365646.0,156785.0,80415.0,3049.0,890.89,804.81,78.0,8754.0,72.0,1.0,1.0
P2732_FreshMango_BE,3226348.0,75.0,11.0,12.0,12.0,14.0,21.0,28.0,460393.0,104.0,13056.56,5.0,7.0,10.0,302408.0,235887.0,153943.0,3098.0,880.92,794.0,84.0,6825.0,72.0,1.0,1.0
P2733_FreshMango_BE,3226376.0,97.0,11.0,12.0,13.0,15.0,21.0,30.0,460393.0,105.0,6061.44,5.0,7.0,11.0,302408.0,235887.0,120092.0,3117.0,875.65,788.43,84.0,6825.0,72.0,1.0,1.0
P2734_FreshMango_BE,3225538.0,35.0,9.0,11.0,14.0,15.0,15.0,17.0,835694.0,105.0,46823.66,3.0,6.0,9.0,365646.0,187402.0,126695.0,3055.0,889.76,803.65,78.0,8754.0,72.0,1.0,1.0
P2811_SweetCherry_BE,3265363.0,57.0,7.0,9.0,12.0,15.0,17.0,17.0,821262.0,108.0,12717.06,2.0,5.0,7.0,820481.0,292952.0,136355.0,3133.0,882.19,798.58,75.0,7962.0,72.0,1.0,1.0
P2813_SweetCherry_BE,3215646.0,52.0,8.0,10.0,15.0,17.0,17.0,18.0,577940.0,102.0,19137.48,4.0,6.0,8.0,428487.0,225870.0,124928.0,3068.0,884.97,802.56,87.0,7962.0,72.0,1.0,1.0
P2814_SweetCherry_BE,3291242.0,173.0,12.0,22.0,34.0,38.0,49.0,60.0,323207.0,100.0,6406.55,9.0,19.0,31.0,127350.0,61123.0,23721.0,3210.0,860.33,775.45,63.0,9801.0,73.0,1.0,1.0
P2827_FermentedMango_BE,3199772.0,66.0,10.0,15.0,26.0,30.0,34.0,36.0,649251.0,105.0,24802.74,5.0,11.0,19.0,156785.0,98910.0,41928.0,3044.0,889.95,805.62,78.0,8754.0,72.0,1.0,1.0
P2918_Fermented_IQF_Mango_BE,3236013.0,109.0,14.0,14.0,19.0,26.0,30.0,38.0,349745.0,104.0,9384.98,6.0,11.0,15.0,194257.0,126071.0,47823.0,3127.0,864.17,780.69,66.0,12249.0,72.0,1.0,1.0
P3181_GREEN_Injera_BE,2584792.0,285.0,0.0,2.0,38.0,95.0,134.0,165.0,80485.0,100.0,6696.2,39.0,80.0,123.0,19800.0,12529.0,6402.0,2550.0,850.33,770.65,60.0,6138.0,73.0,1.0,1.0
P3181_WHITE_Injera_BE,2586539.0,288.0,0.0,2.0,38.0,95.0,134.0,165.0,80484.0,101.0,6616.1,39.0,81.0,123.0,19800.0,12507.0,6402.0,2551.0,850.26,770.56,60.0,6138.0,73.0,1.0,1.0
P331_Cacoa_CR,3321333.0,111.0,12.0,21.0,34.0,41.0,44.0,50.0,349275.0,105.0,14593.1,9.0,17.0,28.0,130584.0,58338.0,35904.0,3213.0,874.14,788.84,63.0,7971.0,73.0,1.0,1.0
P3336_GreenBanana_BE,3224058.0,113.0,10.0,16.0,22.0,24.0,30.0,41.0,460393.0,100.0,7420.1,5.0,10.0,17.0,296363.0,108987.0,46903.0,3115.0,875.27,790.11,78.0,6825.0,72.0,1.0,1.0
P3337_BambaraGroudhut_BE,3279644.0,198.0,4.0,22.0,50.0,70.0,86.0,104.0,183084.0,101.0,9808.4,18.0,38.0,63.0,57426.0,29748.0,12438.0,3264.0,843.58,762.68,63.0,7935.0,72.0,1.0,1.0
P3338_BambaraGroudhut_BE,3012425.0,121.0,6.0,16.0,41.0,53.0,64.0,70.0,308211.0,100.0,14050.34,11.0,25.0,40.0,77524.0,41012.0,20999.0,2874.0,885.6,805.82,66.0,7698.0,72.0,0.0,1.0
P3340_RedCowpea_BE,2993737.0,62.0,10.0,14.0,19.0,22.0,27.0,30.0,585156.0,100.0,19446.08,4.0,8.0,13.0,279393.0,116178.0,60552.0,2830.0,893.0,808.87,60.0,8568.0,72.0,1.0,1.0
P3341_WhiteCowpea_BE,3227069.0,92.0,11.0,12.0,12.0,14.0,21.0,28.0,460393.0,108.0,6159.47,5.0,7.0,10.0,302408.0,235887.0,153943.0,3112.0,876.95,789.77,84.0,6825.0,72.0,1.0,1.0
P3342_SorghumSeso_BE,3209379.0,65.0,8.0,16.0,24.0,28.0,33.0,37.0,646227.0,103.0,23414.38,5.0,11.0,18.0,200559.0,81784.0,41391.0,3031.0,892.32,807.33,60.0,8610.0,72.0,1.0,1.0
P840_1_Sourdough_BE,3200615.0,70.0,10.0,15.0,27.0,31.0,35.0,38.0,649251.0,105.0,22210.05,5.0,11.0,20.0,156785.0,98910.0,38035.0,3047.0,889.3,804.94,84.0,8754.0,72.0,1.0,1.0
P840_2_Sourdough_BE,3200685.0,71.0,10.0,15.0,27.0,31.0,35.0,38.0,649251.0,105.0,21820.6,5.0,11.0,20.0,156785.0,98910.0,38035.0,3047.0,889.34,804.94,84.0,8754.0,72.0,1.0,1.0
P840-Sourdough_BE,3200572.0,70.0,10.0,15.0,27.0,31.0,35.0,38.0,649251.0,105.0,22209.29,5.0,11.0,20.0,156785.0,98910.0,38035.0,3048.0,889.03,804.72,78.0,8754.0,72.0,1.0,1.0
Reference_reformatted,3223643.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3223643.0,3223643.0,3223643.0,1.0,1.0,1.0,3223643.0,3223643.0,3223643.0,2974.0,911.7,828.99,90.0,8406.0,72.0,5.0,1.0
Type_Strain_reformatted,3250154.0,2.0,1.0,1.0,1.0,1.0,2.0,2.0,3242936.0,7218.0,1625077.0,1.0,1.0,1.0,3242936.0,3242936.0,3242936.0,3045.0,894.73,809.02,93.0,7947.0,72.0,5.0,1.0
