query,genome,gene_cluster,gene_callers_id,subject,%pident,alignment_length,e-value,bitscore,function
00000041|gene_cluster_GC_00001397|genome_name_Type_strain|gene_callers_id_1093,Type_strain,GC_00001397,1093,sp|P0A1R8|DBHB_SALTY,35.227,88.0,7.16e-11,57.0,sp|P0A1R8|DBHB_SALTY DNA-binding protein HU-beta OS=Salmonella typhimurium (strain LT2 / SGSC1412 / ATCC 700720) OX=99287 GN=hupB PE=3 SV=1
00000042|gene_cluster_GC_00001482|genome_name_P568_Madre_SD_BE|gene_callers_id_1443,P568_Madre_SD_BE,GC_00001482,1443,sp|P12681|PGTP_SALTY,36.073,438.0,1.12e-84,270.0,sp|P12681|PGTP_SALTY Phosphoglycerate transporter protein OS=Salmonella typhimurium (strain LT2 / SGSC1412 / ATCC 700720) OX=99287 GN=pgtP PE=2 SV=2
00000043|gene_cluster_GC_00001603|genome_name_P516_SD_Italy|gene_callers_id_981,P516_SD_Italy,GC_00001603,981,Unknown,0.0,0.0,-,0.0,Unknown - no BLAST hit found
00000044|gene_cluster_GC_00001407|genome_name_P1194_Madre_SD_BE|gene_callers_id_1144,P1194_Madre_SD_BE,GC_00001407,1144,Unknown,0.0,0.0,-,0.0,Unknown - no BLAST hit found
00000045|gene_cluster_GC_00001502|genome_name_P515_SD_Italy|gene_callers_id_1220,P515_SD_Italy,GC_00001502,1220,sp|Q9P793|CHD1C_SCHPO,23.009,452.0,4.64e-11,68.6,sp|Q9P793|CHD1C_SCHPO ATP-dependent chromatin remodeler mit1 OS=Schizosaccharomyces pombe (strain 972 / ATCC 24843) OX=284812 GN=mit1 PE=1 SV=1
00000046|gene_cluster_GC_00001615|genome_name_Reference|gene_callers_id_178,Reference,GC_00001615,178,sp|O32163|SUFU_BACSU,38.298,141.0,2.61e-28,104.0,sp|O32163|SUFU_BACSU Zinc-dependent sulfurtransferase SufU OS=Bacillus subtilis (strain 168) OX=224308 GN=sufU PE=1 SV=1
00000047|gene_cluster_GC_00001578|genome_name_P1194_Madre_SD_BE|gene_callers_id_12,P1194_Madre_SD_BE,GC_00001578,12,Unknown,0.0,0.0,-,0.0,Unknown - no BLAST hit found
00000048|gene_cluster_GC_00001469|genome_name_P515_SD_Italy|gene_callers_id_1218,P515_SD_Italy,GC_00001469,1218,Unknown,0.0,0.0,-,0.0,Unknown - no BLAST hit found
00000049|gene_cluster_GC_00001481|genome_name_P1194_Madre_SD_BE|gene_callers_id_1226,P1194_Madre_SD_BE,GC_00001481,1226,Unknown,0.0,0.0,-,0.0,Unknown - no BLAST hit found
00000050|gene_cluster_GC_00001532|genome_name_P1194_Madre_SD_BE|gene_callers_id_1147,P1194_Madre_SD_BE,GC_00001532,1147,sp|Q5HK76|HSDR_STAEQ,32.323,891.0,8.26e-135,433.0,sp|Q5HK76|HSDR_STAEQ Type I restriction enzyme SepRPIP endonuclease subunit OS=Staphylococcus epidermidis (strain ATCC 35984 / DSM 28319 / BCRC 17069 / CCUG 31568 / BM 3577 / RP62A) OX=176279 GN=hsdR PE=3 SV=1
00000051|gene_cluster_GC_00001567|genome_name_P515_SD_Italy|gene_callers_id_1128,P515_SD_Italy,GC_00001567,1128,sp|O21871|ENDON_BPLSK,31.25,80.0,2.73e-05,44.3,sp|O21871|ENDON_BPLSK Probable HNH endonuclease OS=Lactococcus phage SK1 OX=2905675 PE=3 SV=1
00000052|gene_cluster_GC_00001608|genome_name_P568_Madre_SD_BE|gene_callers_id_63,P568_Madre_SD_BE,GC_00001608,63,sp|P0AAF2|POTE_ECOL6,66.514,436.0,0.0,585.0,sp|P0AAF2|POTE_ECOL6 Putrescine transporter PotE OS=Escherichia coli O6:H1 (strain CFT073 / ATCC 700928 / UPEC) OX=199310 GN=potE PE=3 SV=1
00000053|gene_cluster_GC_00001400|genome_name_P568_Madre_SD_BE|gene_callers_id_876,P568_Madre_SD_BE,GC_00001400,876,Unknown,0.0,0.0,-,0.0,Unknown - no BLAST hit found
00000054|gene_cluster_GC_00001614|genome_name_Reference|gene_callers_id_170,Reference,GC_00001614,170,sp|Q48585|YI3A_LACJH,28.324,173.0,3.03e-05,46.6,sp|Q48585|YI3A_LACJH Insertion element IS1223 uncharacterized 20.7 kDa protein OS=Lactobacillus johnsonii OX=33959 PE=3 SV=1
00000055|gene_cluster_GC_00001479|genome_name_P515_SD_Italy|gene_callers_id_1144,P515_SD_Italy,GC_00001479,1144,Unknown,0.0,0.0,-,0.0,Unknown - no BLAST hit found
00000056|gene_cluster_GC_00001477|genome_name_P568_Madre_SD_BE|gene_callers_id_887,P568_Madre_SD_BE,GC_00001477,887,sp|P09389|MTBB_BPSPB,33.617,470.0,4.13e-56,194.0,sp|P09389|MTBB_BPSPB Orphan methyltransferase M.SPBetaI OS=Bacillus phage SPbeta OX=2932878 GN=mtbP PE=3 SV=2
00000057|gene_cluster_GC_00001408|genome_name_P515_SD_Italy|gene_callers_id_1145,P515_SD_Italy,GC_00001408,1145,sp|P34020|LYS_CLOAB,30.601,183.0,8.75e-10,63.9,sp|P34020|LYS_CLOAB Autolytic lysozyme OS=Clostridium acetobutylicum (strain ATCC 824 / DSM 792 / JCM 1419 / IAM 19013 / LMG 5710 / NBRC 13948 / NRRL B-527 / VKM B-1787 / 2291 / W) OX=272562 GN=lyc PE=1 SV=1
00000058|gene_cluster_GC_00001610|genome_name_P1194_Madre_SD_BE|gene_callers_id_977,P1194_Madre_SD_BE,GC_00001610,977,Unknown,0.0,0.0,-,0.0,Unknown - no BLAST hit found
00000059|gene_cluster_GC_00001498|genome_name_P568_Madre_SD_BE|gene_callers_id_1413,P568_Madre_SD_BE,GC_00001498,1413,Unknown,0.0,0.0,-,0.0,Unknown - no BLAST hit found
00000060|gene_cluster_GC_00001579|genome_name_P1191_Madre_SD_BE|gene_callers_id_1261,P1191_Madre_SD_BE,GC_00001579,1261,Unknown,0.0,0.0,-,0.0,Unknown - no BLAST hit found
00000061|gene_cluster_GC_00001599|genome_name_P568_Madre_SD_BE|gene_callers_id_1438,P568_Madre_SD_BE,GC_00001599,1438,sp|P96594|YDAS_BACSU,51.282,78.0,2.77e-16,69.7,sp|P96594|YDAS_BACSU UPF0410 protein YdaS OS=Bacillus subtilis (strain 168) OX=224308 GN=ydaS PE=3 SV=1
00000062|gene_cluster_GC_00001488|genome_name_Reference|gene_callers_id_173,Reference,GC_00001488,173,sp|P43752|NRDD_HAEIN,48.87,708.0,0.0,698.0,sp|P43752|NRDD_HAEIN Anaerobic ribonucleoside-triphosphate reductase OS=Haemophilus influenzae (strain ATCC 51907 / DSM 11121 / KW20 / Rd) OX=71421 GN=nrdD PE=3 SV=1
00000063|gene_cluster_GC_00001461|genome_name_P1194_Madre_SD_BE|gene_callers_id_11,P1194_Madre_SD_BE,GC_00001461,11,Unknown,0.0,0.0,-,0.0,Unknown - no BLAST hit found
00000064|gene_cluster_GC_00001441|genome_name_P1194_Madre_SD_BE|gene_callers_id_1231,P1194_Madre_SD_BE,GC_00001441,1231,sp|P25524|CODA_ECOLI,56.566,396.0,1.12e-163,469.0,sp|P25524|CODA_ECOLI Cytosine deaminase OS=Escherichia coli (strain K12) OX=83333 GN=codA PE=1 SV=3
00000065|gene_cluster_GC_00001392|genome_name_P1194_Madre_SD_BE|gene_callers_id_9,P1194_Madre_SD_BE,GC_00001392,9,Unknown,0.0,0.0,-,0.0,Unknown - no BLAST hit found
00000066|gene_cluster_GC_00001504|genome_name_P1194_Madre_SD_BE|gene_callers_id_1029,P1194_Madre_SD_BE,GC_00001504,1029,sp|P95780|RMLB_STRMU,74.118,340.0,0.0,543.0,"sp|P95780|RMLB_STRMU dTDP-glucose 4,6-dehydratase OS=Streptococcus mutans serotype c (strain ATCC 700610 / UA159) OX=210007 GN=rmlB PE=1 SV=2"
00000067|gene_cluster_GC_00001581|genome_name_P568_Madre_SD_BE|gene_callers_id_1405,P568_Madre_SD_BE,GC_00001581,1405,Unknown,0.0,0.0,-,0.0,Unknown - no BLAST hit found
00000068|gene_cluster_GC_00001491|genome_name_Type_strain|gene_callers_id_1013,Type_strain,GC_00001491,1013,Unknown,0.0,0.0,-,0.0,Unknown - no BLAST hit found
00000069|gene_cluster_GC_00001495|genome_name_P568_Madre_SD_BE|gene_callers_id_892,P568_Madre_SD_BE,GC_00001495,892,sp|P24125|V51K_BPL79,47.664,428.0,1.6e-128,383.0,sp|P24125|V51K_BPL79 51.5 kDa protein OS=Lactococcus phage (isolate 7-9) OX=12375 PE=4 SV=1
00000070|gene_cluster_GC_00001556|genome_name_P515_SD_Italy|gene_callers_id_1127,P515_SD_Italy,GC_00001556,1127,Unknown,0.0,0.0,-,0.0,Unknown - no BLAST hit found
00000071|gene_cluster_GC_00001516|genome_name_P1194_Madre_SD_BE|gene_callers_id_587,P1194_Madre_SD_BE,GC_00001516,587,Unknown,0.0,0.0,-,0.0,Unknown - no BLAST hit found
00000072|gene_cluster_GC_00001575|genome_name_P1194_Madre_SD_BE|gene_callers_id_16,P1194_Madre_SD_BE,GC_00001575,16,Unknown,0.0,0.0,-,0.0,Unknown - no BLAST hit found
00000073|gene_cluster_GC_00001443|genome_name_P1194_Madre_SD_BE|gene_callers_id_1023,P1194_Madre_SD_BE,GC_00001443,1023,sp|Q58464|Y1064_METJA,40.179,112.0,3.52e-16,77.0,sp|Q58464|Y1064_METJA Uncharacterized acetyltransferase MJ1064 OS=Methanocaldococcus jannaschii (strain ATCC 43067 / DSM 2661 / JAL-1 / JCM 10045 / NBRC 100440) OX=243232 GN=MJ1064 PE=3 SV=1
00000074|gene_cluster_GC_00001563|genome_name_P568_Madre_SD_BE|gene_callers_id_61,P568_Madre_SD_BE,GC_00001563,61,sp|O34546|YTTB_BACSU,33.333,354.0,7.840000000000001e-64,212.0,sp|O34546|YTTB_BACSU Uncharacterized MFS-type transporter YttB OS=Bacillus subtilis (strain 168) OX=224308 GN=yttB PE=3 SV=1
00000075|gene_cluster_GC_00001457|genome_name_P1194_Madre_SD_BE|gene_callers_id_1246,P1194_Madre_SD_BE,GC_00001457,1246,sp|O35018|LMRB_BACSU,31.002,429.0,1.8200000000000001e-47,173.0,sp|O35018|LMRB_BACSU Lincomycin resistance protein LmrB OS=Bacillus subtilis (strain 168) OX=224308 GN=lmrB PE=3 SV=1
00000076|gene_cluster_GC_00001433|genome_name_P1194_Madre_SD_BE|gene_callers_id_19,P1194_Madre_SD_BE,GC_00001433,19,sp|P96629|INT_BACSU,24.74,384.0,4.99e-26,110.0,sp|P96629|INT_BACSU ICEBs1 integrase OS=Bacillus subtilis (strain 168) OX=224308 GN=int PE=3 SV=1
00000077|gene_cluster_GC_00001391|genome_name_P568_Madre_SD_BE|gene_callers_id_1375,P568_Madre_SD_BE,GC_00001391,1375,Unknown,0.0,0.0,-,0.0,Unknown - no BLAST hit found
00000078|gene_cluster_GC_00001531|genome_name_Reference|gene_callers_id_171,Reference,GC_00001531,171,sp|P35878|T904_LACLA,29.289,239.0,9.57e-17,80.5,sp|P35878|T904_LACLA Transposase for insertion sequence element IS904 OS=Lactococcus lactis subsp. lactis (strain IL1403) OX=272623 GN=nisX1 PE=3 SV=1
00000079|gene_cluster_GC_00001547|genome_name_P568_Madre_SD_BE|gene_callers_id_1440,P568_Madre_SD_BE,GC_00001547,1440,sp|Q58439|CORA_METJA,24.342,152.0,0.000235,45.8,sp|Q58439|CORA_METJA Cobalt/magnesium transport protein CorA OS=Methanocaldococcus jannaschii (strain ATCC 43067 / DSM 2661 / JAL-1 / JCM 10045 / NBRC 100440) OX=243232 GN=corA PE=1 SV=1
00000080|gene_cluster_GC_00001453|genome_name_P568_Madre_SD_BE|gene_callers_id_62,P568_Madre_SD_BE,GC_00001453,62,sp|P43099|DCOR_LACS3,69.188,714.0,0.0,1084.0,sp|P43099|DCOR_LACS3 Inducible ornithine decarboxylase OS=Lactobacillus sp. (strain 30a) OX=1593 GN=odcI PE=1 SV=2
00000081|gene_cluster_GC_00001535|genome_name_P568_Madre_SD_BE|gene_callers_id_1432,P568_Madre_SD_BE,GC_00001535,1432,sp|Q45494|YKRA_BACSU,29.73,259.0,9.360000000000001e-29,112.0,sp|Q45494|YKRA_BACSU Putative phosphatase YkrA OS=Bacillus subtilis (strain 168) OX=224308 GN=ykrA PE=3 SV=1
00000082|gene_cluster_GC_00001432|genome_name_Reference|gene_callers_id_175,Reference,GC_00001432,175,sp|P80866|SUFC_BACSU,62.8,250.0,5.92e-116,335.0,sp|P80866|SUFC_BACSU Vegetative protein 296 OS=Bacillus subtilis (strain 168) OX=224308 GN=sufC PE=1 SV=3
00000083|gene_cluster_GC_00001475|genome_name_P1194_Madre_SD_BE|gene_callers_id_790,P1194_Madre_SD_BE,GC_00001475,790,sp|Q60329|Y014_METJA,41.52,171.0,5.17e-36,127.0,sp|Q60329|Y014_METJA Uncharacterized protein MJ0014 OS=Methanocaldococcus jannaschii (strain ATCC 43067 / DSM 2661 / JAL-1 / JCM 10045 / NBRC 100440) OX=243232 GN=MJ0014 PE=1 SV=1
00000084|gene_cluster_GC_00001601|genome_name_P1194_Madre_SD_BE|gene_callers_id_1028,P1194_Madre_SD_BE,GC_00001601,1028,sp|P39862|CAPM_STAAU,27.734,256.0,2.29e-09,62.0,sp|P39862|CAPM_STAAU Capsular polysaccharide biosynthesis glycosyltransferase CapM OS=Staphylococcus aureus OX=1280 GN=capM PE=3 SV=1
00000085|gene_cluster_GC_00001588|genome_name_P515_SD_Italy|gene_callers_id_1131,P515_SD_Italy,GC_00001588,1131,Unknown,0.0,0.0,-,0.0,Unknown - no BLAST hit found
00000086|gene_cluster_GC_00001428|genome_name_Type_strain|gene_callers_id_1159,Type_strain,GC_00001428,1159,Unknown,0.0,0.0,-,0.0,Unknown - no BLAST hit found
00000087|gene_cluster_GC_00001451|genome_name_P568_Madre_SD_BE|gene_callers_id_1404,P568_Madre_SD_BE,GC_00001451,1404,Unknown,0.0,0.0,-,0.0,Unknown - no BLAST hit found
00000088|gene_cluster_GC_00001592|genome_name_P1194_Madre_SD_BE|gene_callers_id_1143,P1194_Madre_SD_BE,GC_00001592,1143,sp|Q9ZUC1|AOR_ARATH,38.217,314.0,5.4599999999999995e-55,186.0,"sp|Q9ZUC1|AOR_ARATH NADPH-dependent alkenal/one oxidoreductase, chloroplastic OS=Arabidopsis thaliana OX=3702 GN=AOR PE=1 SV=2"
00000089|gene_cluster_GC_00001466|genome_name_P515_SD_Italy|gene_callers_id_1150,P515_SD_Italy,GC_00001466,1150,Unknown,0.0,0.0,-,0.0,Unknown - no BLAST hit found
00000090|gene_cluster_GC_00001419|genome_name_Type_strain|gene_callers_id_1090,Type_strain,GC_00001419,1090,Unknown,0.0,0.0,-,0.0,Unknown - no BLAST hit found
00000091|gene_cluster_GC_00001483|genome_name_P568_Madre_SD_BE|gene_callers_id_893,P568_Madre_SD_BE,GC_00001483,893,Unknown,0.0,0.0,-,0.0,Unknown - no BLAST hit found
00000092|gene_cluster_GC_00001404|genome_name_P568_Madre_SD_BE|gene_callers_id_866,P568_Madre_SD_BE,GC_00001404,866,sp|O48459|DIT_BPSPP,26.064,188.0,6.35e-08,55.5,sp|O48459|DIT_BPSPP Distal tail protein OS=Bacillus phage SPP1 OX=10724 PE=1 SV=1
00000093|gene_cluster_GC_00001518|genome_name_P1194_Madre_SD_BE|gene_callers_id_13,P1194_Madre_SD_BE,GC_00001518,13,Unknown,0.0,0.0,-,0.0,Unknown - no BLAST hit found
00000094|gene_cluster_GC_00001577|genome_name_P568_Madre_SD_BE|gene_callers_id_1409,P568_Madre_SD_BE,GC_00001577,1409,Unknown,0.0,0.0,-,0.0,Unknown - no BLAST hit found
