enzyme,genome_name,db_name,gene_caller_id,contig,modules_with_enzyme,enzyme_definition,warnings
K09936,P2505_Sourdough_Lib,P2505_Sourdough_Lib,2851,c_000000000050,,bacterial/archaeal transporter family-2 protein,
K07706,P2505_Sourdough_Lib,P2505_Sourdough_Lib,2413,c_000000000031,,"two-component system, LytTR family, sensor histidine kinase AgrC [EC:2.7.13.3]",
K13684,P2505_Sourdough_Lib,P2505_Sourdough_Lib,2785,c_000000000047,,putative colanic acid biosynthesis glycosyltransferase WcaC [EC:2.4.-.-],
K12990,P2505_Sourdough_Lib,P2505_Sourdough_Lib,2828,c_000000000049,,rhamnosyltransferase [EC:2.4.1.-],
K02034,P2505_Sourdough_Lib,P2505_Sourdough_Lib,1307,c_000000000010,,peptide/nickel transport system permease protein,
K10947,P2505_Sourdough_Lib,P2505_Sourdough_Lib,3311,c_000000000144,,PadR family transcriptional regulator,
K15581,P2505_Sourdough_Lib,P2505_Sourdough_Lib,1308,c_000000000010,,oligopeptide transport system permease protein,
K21471,P2505_Sourdough_Lib,P2505_Sourdough_Lib,2810,c_000000000048,,peptidoglycan DL-endopeptidase CwlO [EC:3.4.-.-],
K01361,P2505_Sourdough_Lib,P2505_Sourdough_Lib,3117,c_000000000078,,lactocepin [EC:3.4.21.96],
K16649,P2506_Topinambur_IT,P2506_Topinambur_IT,3019,c_000000000040,M00888,"rhamnopyranosyl-N-acetylglucosaminyl-diphospho-decaprenol beta-1,3/1,4-galactofuranosyltransferase [EC:2.4.1.287]",
K00278,P2506_Topinambur_IT,P2506_Topinambur_IT,2953,c_000000000034,M00115,L-aspartate oxidase [EC:1.4.3.16],
K03517,P2506_Topinambur_IT,P2506_Topinambur_IT,2954,c_000000000034,M00115,quinolinate synthase [EC:2.5.1.72],
K00767,P2506_Topinambur_IT,P2506_Topinambur_IT,2958,c_000000000034,"M00115,M00912",nicotinate-nucleotide pyrophosphorylase (carboxylating) [EC:2.4.2.19],
K02030,P2506_Topinambur_IT,P2506_Topinambur_IT,3024,c_000000000041,,polar amino acid transport system substrate-binding protein,
K04487,P2506_Topinambur_IT,P2506_Topinambur_IT,2955,c_000000000034,,cysteine desulfurase [EC:2.8.1.7],
K03496,P2506_Topinambur_IT,P2506_Topinambur_IT,1658,c_000000000006,,chromosome partitioning protein,
K03496,P2506_Topinambur_IT,P2506_Topinambur_IT,2686,c_000000000020,,chromosome partitioning protein,
K22106,P2506_Topinambur_IT,P2506_Topinambur_IT,3000,c_000000000038,,"TetR/AcrR family transcriptional regulator, repressor of fatR-cypB operon",
K08177,P2506_Topinambur_IT,P2506_Topinambur_IT,3037,c_000000000042,,"MFS transporter, OFA family, oxalate/formate antiporter",
K07497,P2506_Topinambur_IT,P2506_Topinambur_IT,2840,c_000000000027,,putative transposase,
K07078,P2506_Topinambur_IT,P2506_Topinambur_IT,3077,c_000000000049,,uncharacterized protein,
K06889,P2506_Topinambur_IT,P2506_Topinambur_IT,2999,c_000000000038,,uncharacterized protein,
K02029,P2506_Topinambur_IT,P2506_Topinambur_IT,3026,c_000000000041,,polar amino acid transport system permease protein,
K02029,P2506_Topinambur_IT,P2506_Topinambur_IT,3027,c_000000000041,,polar amino acid transport system permease protein,
K21745,P2506_Topinambur_IT,P2506_Topinambur_IT,2448,c_000000000015,,"MerR family transcriptional regulator, aldehyde-responsive regulator",
K07729,P2506_Topinambur_IT,P2506_Topinambur_IT,2654,c_000000000019,,putative transcriptional regulator,
K07316,P2506_Topinambur_IT,P2506_Topinambur_IT,2849,c_000000000028,,adenine-specific DNA-methyltransferase [EC:2.1.1.72],
K00571,P2506_Topinambur_IT,P2506_Topinambur_IT,2628,c_000000000019,,site-specific DNA-methyltransferase (adenine-specific) [EC:2.1.1.72],
K00571,P2506_Topinambur_IT,P2506_Topinambur_IT,2629,c_000000000019,,site-specific DNA-methyltransferase (adenine-specific) [EC:2.1.1.72],
K06909,P2506_Topinambur_IT,P2506_Topinambur_IT,2625,c_000000000019,,phage terminase large subunit,
K07486,P2506_Topinambur_IT,P2506_Topinambur_IT,2668,c_000000000020,,transposase,
K01156,P2506_Topinambur_IT,P2506_Topinambur_IT,2848,c_000000000028,,type III restriction enzyme [EC:3.1.21.5],
K07341,P2506_Topinambur_IT,P2506_Topinambur_IT,593,c_000000000001,,death on curing protein,
K19420,P2506_Topinambur_IT,P2506_Topinambur_IT,3017,c_000000000040,,protein tyrosine kinase modulator,
K22299,P2506_Topinambur_IT,P2506_Topinambur_IT,2655,c_000000000019,,"HTH-type transcriptional regulator, competence development regulator",
K09813,P2506_Topinambur_IT,P2506_Topinambur_IT,2965,c_000000000035,,hemin transport system permease protein,
K16649,P2538_Sourdough_Lib,P2538_Sourdough_Lib,2486,c_000000000001,M00888,"rhamnopyranosyl-N-acetylglucosaminyl-diphospho-decaprenol beta-1,3/1,4-galactofuranosyltransferase [EC:2.4.1.287]",
K14059,P2538_Sourdough_Lib,P2538_Sourdough_Lib,707,c_000000000001,,integrase,
K07727,P2538_Sourdough_Lib,P2538_Sourdough_Lib,708,c_000000000001,,putative transcriptional regulator,
K06223,P2538_Sourdough_Lib,P2538_Sourdough_Lib,3110,c_000000000003,,DNA adenine methylase [EC:2.1.1.72],
K18640,P2538_Sourdough_Lib,P2538_Sourdough_Lib,3112,c_000000000003,,plasmid segregation protein ParM,
K07483,P2538_Sourdough_Lib,P2538_Sourdough_Lib,3116,c_000000000004,,transposase,
K09809,P2538_Sourdough_Lib,P2538_Sourdough_Lib,2487,c_000000000001,,CDP-glycerol glycerophosphotransferase [EC:2.7.8.12],
K02840,P2538_Sourdough_Lib,P2538_Sourdough_Lib,2488,c_000000000001,,"UDP-D-galactose:(glucosyl)LPS alpha-1,6-D-galactosyltransferase [EC:2.4.1.-]",
K00134,P2584_Sourdough_BE,P2584_Sourdough_BE,3100,c_000000000050,"M00001,M00002,M00003,M00308,M00552,M00165,M00611,M00612",glyceraldehyde 3-phosphate dehydrogenase (phosphorylating) [EC:1.2.1.12],
K01602,P2584_Sourdough_BE,P2584_Sourdough_BE,3101,c_000000000050,"M00532,M00165,M00611,M00612",ribulose-bisphosphate carboxylase small chain [EC:4.1.1.39],
K04041,P2811_SweetCherry_BE,P2811_SweetCherry_BE,3076,c_000000000016,"M00003,M00611,M00612","fructose-1,6-bisphosphatase III [EC:3.1.3.11]",
K16870,P2811_SweetCherry_BE,P2811_SweetCherry_BE,2804,c_000000000008,M00888,N-acetylglucosaminyl-diphospho-decaprenol L-rhamnosyltransferase [EC:2.4.1.289],
K00661,P2811_SweetCherry_BE,P2811_SweetCherry_BE,3105,c_000000000030,,maltose O-acetyltransferase [EC:2.3.1.79],
K07459,P2811_SweetCherry_BE,P2811_SweetCherry_BE,2814,c_000000000008,,putative ATP-dependent endonuclease of the OLD family,
K22580,P2811_SweetCherry_BE,P2811_SweetCherry_BE,3066,c_000000000015,,teichoic acid D-alanine hydrolase [EC:3.1.1.103],
K07729,P2811_SweetCherry_BE,P2811_SweetCherry_BE,438,c_000000000001,,putative transcriptional regulator,
K07483,P2811_SweetCherry_BE,P2811_SweetCherry_BE,2810,c_000000000008,,transposase,
K16710,P2811_SweetCherry_BE,P2811_SweetCherry_BE,3073,c_000000000015,,colanic acid/amylovoran biosynthesis protein WcaK/AmsJ,
K16710,P2811_SweetCherry_BE,P2811_SweetCherry_BE,2805,c_000000000008,,colanic acid/amylovoran biosynthesis protein WcaK/AmsJ,
K07273,P2813_SweetCherry_BE,P2813_SweetCherry_BE,687,c_000000000002,,lysozyme,
K15051,P2813_SweetCherry_BE,P2813_SweetCherry_BE,637,c_000000000002,,DNA-entry nuclease,
K00549,P2814_SweetCherry_BE,P2814_SweetCherry_BE,3041,c_000000000050,M00017,5-methyltetrahydropteroyltriglutamate--homocysteine methyltransferase [EC:2.1.1.14],
K19158,P2814_SweetCherry_BE,P2814_SweetCherry_BE,3044,c_000000000051,,toxin YoeB [EC:3.1.-.-],
K14052,P2814_SweetCherry_BE,P2814_SweetCherry_BE,3042,c_000000000050,,putrescine importer,
K06884,P2814_SweetCherry_BE,P2814_SweetCherry_BE,2967,c_000000000040,,uncharacterized protein,
K13292,P2814_SweetCherry_BE,P2814_SweetCherry_BE,2989,c_000000000043,,phosphatidylglycerol---prolipoprotein diacylglyceryl transferase [EC:2.5.1.145],
K07483,P2814_SweetCherry_BE,P2814_SweetCherry_BE,3078,c_000000000058,,transposase,
K07497,P2814_SweetCherry_BE,P2814_SweetCherry_BE,3079,c_000000000058,,putative transposase,
K01154,P2814_SweetCherry_BE,P2814_SweetCherry_BE,1836,c_000000000011,,"type I restriction enzyme, S subunit [EC:3.1.21.3]",
K07271,P2814_SweetCherry_BE,P2814_SweetCherry_BE,2743,c_000000000028,,lipopolysaccharide cholinephosphotransferase [EC:2.7.8.-],
K01358,P2814_SweetCherry_BE,P2814_SweetCherry_BE,627,c_000000000003,,"ATP-dependent Clp protease, protease subunit [EC:3.4.21.92]",
K12990,P2814_SweetCherry_BE,P2814_SweetCherry_BE,2740,c_000000000028,,rhamnosyltransferase [EC:2.4.1.-],
K12972,P2814_SweetCherry_BE,P2814_SweetCherry_BE,2910,c_000000000036,,glyoxylate/hydroxypyruvate reductase [EC:1.1.1.79 1.1.1.81],
K19159,P2814_SweetCherry_BE,P2814_SweetCherry_BE,3045,c_000000000051,,antitoxin YefM,
K12373,P2918_Fermented_IQF_Mango_BE,P2918_Fermented_IQF_Mango_BE,510,c_000000000002,M00079,hexosaminidase [EC:3.2.1.52],
K18909,P2918_Fermented_IQF_Mango_BE,P2918_Fermented_IQF_Mango_BE,2429,c_000000000012,M00705,"MarR family transcriptional regulator, repressor for mepA",
K07706,P2918_Fermented_IQF_Mango_BE,P2918_Fermented_IQF_Mango_BE,2641,c_000000000014,,"two-component system, LytTR family, sensor histidine kinase AgrC [EC:2.7.13.3]",
K06221,P2918_Fermented_IQF_Mango_BE,P2918_Fermented_IQF_Mango_BE,2325,c_000000000011,,"2,5-diketo-D-gluconate reductase A [EC:1.1.1.346]",
K06889,P2918_Fermented_IQF_Mango_BE,P2918_Fermented_IQF_Mango_BE,615,c_000000000002,,uncharacterized protein,
K06889,P2918_Fermented_IQF_Mango_BE,P2918_Fermented_IQF_Mango_BE,600,c_000000000002,,uncharacterized protein,
K19784,P2918_Fermented_IQF_Mango_BE,P2918_Fermented_IQF_Mango_BE,959,c_000000000004,,"chromate reductase, NAD(P)H dehydrogenase (quinone)",
K07727,P2918_Fermented_IQF_Mango_BE,P2918_Fermented_IQF_Mango_BE,1326,c_000000000005,,putative transcriptional regulator,
K00852,P2918_Fermented_IQF_Mango_BE,P2918_Fermented_IQF_Mango_BE,2587,c_000000000013,,ribokinase [EC:2.7.1.15],
K11936,P2918_Fermented_IQF_Mango_BE,P2918_Fermented_IQF_Mango_BE,2303,c_000000000011,,"poly-beta-1,6-N-acetyl-D-glucosamine synthase [EC:2.4.1.-]",
K03446,P2918_Fermented_IQF_Mango_BE,P2918_Fermented_IQF_Mango_BE,958,c_000000000004,,"MFS transporter, DHA2 family, multidrug resistance protein",
K00661,P2918_Fermented_IQF_Mango_BE,P2918_Fermented_IQF_Mango_BE,2091,c_000000000009,,maltose O-acetyltransferase [EC:2.3.1.79],
K00661,P2918_Fermented_IQF_Mango_BE,P2918_Fermented_IQF_Mango_BE,604,c_000000000002,,maltose O-acetyltransferase [EC:2.3.1.79],
K06978,P2918_Fermented_IQF_Mango_BE,P2918_Fermented_IQF_Mango_BE,2074,c_000000000009,,uncharacterized protein,
K07584,P2918_Fermented_IQF_Mango_BE,P2918_Fermented_IQF_Mango_BE,1617,c_000000000007,,uncharacterized protein,
K21745,P2918_Fermented_IQF_Mango_BE,P2918_Fermented_IQF_Mango_BE,614,c_000000000002,,"MerR family transcriptional regulator, aldehyde-responsive regulator",
K21745,P2918_Fermented_IQF_Mango_BE,P2918_Fermented_IQF_Mango_BE,621,c_000000000002,,"MerR family transcriptional regulator, aldehyde-responsive regulator",
K21745,P2918_Fermented_IQF_Mango_BE,P2918_Fermented_IQF_Mango_BE,1809,c_000000000008,,"MerR family transcriptional regulator, aldehyde-responsive regulator",
K01421,P2918_Fermented_IQF_Mango_BE,P2918_Fermented_IQF_Mango_BE,1791,c_000000000008,,putative membrane protein,
K07171,P2918_Fermented_IQF_Mango_BE,P2918_Fermented_IQF_Mango_BE,2697,c_000000000014,,mRNA interferase MazF [EC:3.1.-.-],
K05346,P2918_Fermented_IQF_Mango_BE,P2918_Fermented_IQF_Mango_BE,2583,c_000000000013,,deoxyribonucleoside regulator,
K02429,P2918_Fermented_IQF_Mango_BE,P2918_Fermented_IQF_Mango_BE,2585,c_000000000013,,"MFS transporter, FHS family, L-fucose permease",
K21744,P2918_Fermented_IQF_Mango_BE,P2918_Fermented_IQF_Mango_BE,2649,c_000000000014,,"MerR family transcriptional regulator, thiopeptide resistance regulator",
K01619,P2918_Fermented_IQF_Mango_BE,P2918_Fermented_IQF_Mango_BE,2584,c_000000000013,,deoxyribose-phosphate aldolase [EC:4.1.2.4],
K00986,P2918_Fermented_IQF_Mango_BE,P2918_Fermented_IQF_Mango_BE,2819,c_000000000016,,RNA-directed DNA polymerase [EC:2.7.7.49],
K01222,P2918_Fermented_IQF_Mango_BE,P2918_Fermented_IQF_Mango_BE,2853,c_000000000018,,6-phospho-beta-glucosidase [EC:3.2.1.86],
K07497,P2918_Fermented_IQF_Mango_BE,P2918_Fermented_IQF_Mango_BE,2934,c_000000000022,,putative transposase,
K00754,P2918_Fermented_IQF_Mango_BE,P2918_Fermented_IQF_Mango_BE,2907,c_000000000020,,L-malate glycosyltransferase [EC:2.4.1.-],
K00754,P2918_Fermented_IQF_Mango_BE,P2918_Fermented_IQF_Mango_BE,108,c_000000000001,,L-malate glycosyltransferase [EC:2.4.1.-],
K27561,P2918_Fermented_IQF_Mango_BE,P2918_Fermented_IQF_Mango_BE,159,c_000000000001,,Bacillus phage HNH endonuclease,
K00355,P2918_Fermented_IQF_Mango_BE,P2918_Fermented_IQF_Mango_BE,568,c_000000000002,,NAD(P)H dehydrogenase (quinone) [EC:1.6.5.2],
K15773,P2918_Fermented_IQF_Mango_BE,P2918_Fermented_IQF_Mango_BE,2664,c_000000000014,,HTH-type transcriptional regulator / antitoxin HipB,
K16649,P331_Cacoa_CR,P331_Cacoa_CR,2137,c_000000000014,M00888,"rhamnopyranosyl-N-acetylglucosaminyl-diphospho-decaprenol beta-1,3/1,4-galactofuranosyltransferase [EC:2.4.1.287]",
K05338,P331_Cacoa_CR,P331_Cacoa_CR,3125,c_000000000045,,holin-like protein,
K07704,P331_Cacoa_CR,P331_Cacoa_CR,3127,c_000000000045,,"two-component system, LytTR family, sensor histidine kinase LytS [EC:2.7.13.3]",
K06518,P331_Cacoa_CR,P331_Cacoa_CR,3125,c_000000000045,,holin-like protein,
K06904,P331_Cacoa_CR,P331_Cacoa_CR,2851,c_000000000029,,Escherichia/Staphylococcus phage prohead protease,
K14059,P331_Cacoa_CR,P331_Cacoa_CR,3086,c_000000000041,,integrase,
K07451,P331_Cacoa_CR,P331_Cacoa_CR,2844,c_000000000029,,5-methylcytosine-specific restriction enzyme A [EC:3.1.21.-],
K02477,P331_Cacoa_CR,P331_Cacoa_CR,3126,c_000000000045,,"two-component system, LytTR family, response regulator",
K07729,P331_Cacoa_CR,P331_Cacoa_CR,1271,c_000000000006,,putative transcriptional regulator,
K07241,P331_Cacoa_CR,P331_Cacoa_CR,2888,c_000000000031,,nickel/cobalt transporter (NiCoT) family protein,
K12990,P331_Cacoa_CR,P331_Cacoa_CR,2133,c_000000000014,,rhamnosyltransferase [EC:2.4.1.-],
K23684,P331_Cacoa_CR,P331_Cacoa_CR,2139,c_000000000014,,dolichol-phosphate hexosyltransferase [EC:2.4.1.-],
K18367,P3337_BambaraGroudhut_BE,P3337_BambaraGroudhut_BE,3034,c_000000000078,M00986,CoA-dependent NAD(P)H sulfur oxidoreductase [EC:1.8.1.18],
K00135,P3337_BambaraGroudhut_BE,P3337_BambaraGroudhut_BE,2974,c_000000000070,"M00956,M00957,M00027",succinate-semialdehyde dehydrogenase / glutarate-semialdehyde dehydrogenase [EC:1.2.1.16 1.2.1.79 1.2.1.20],
K03431,P3337_BambaraGroudhut_BE,P3337_BambaraGroudhut_BE,2558,c_000000000044,"M00909,M00995",phosphoglucosamine mutase [EC:5.4.2.10],
K06223,P3337_BambaraGroudhut_BE,P3337_BambaraGroudhut_BE,3157,c_000000000103,,DNA adenine methylase [EC:2.1.1.72],
K04047,P3337_BambaraGroudhut_BE,P3337_BambaraGroudhut_BE,2972,c_000000000070,,starvation-inducible DNA-binding protein,
K03496,P3337_BambaraGroudhut_BE,P3337_BambaraGroudhut_BE,3076,c_000000000085,,chromosome partitioning protein,
K00571,P3337_BambaraGroudhut_BE,P3337_BambaraGroudhut_BE,3156,c_000000000103,,site-specific DNA-methyltransferase (adenine-specific) [EC:2.1.1.72],
K01155,P3337_BambaraGroudhut_BE,P3337_BambaraGroudhut_BE,3155,c_000000000103,,type II restriction enzyme [EC:3.1.21.4],
K06994,P3337_BambaraGroudhut_BE,P3337_BambaraGroudhut_BE,3074,c_000000000084,,putative drug exporter of the RND superfamily,
K07497,P3337_BambaraGroudhut_BE,P3337_BambaraGroudhut_BE,2449,c_000000000040,,putative transposase,
K00661,P3337_BambaraGroudhut_BE,P3337_BambaraGroudhut_BE,2560,c_000000000044,,maltose O-acetyltransferase [EC:2.3.1.79],
K03100,P3337_BambaraGroudhut_BE,P3337_BambaraGroudhut_BE,952,c_000000000009,,signal peptidase I [EC:3.4.21.89],
K22373,P3337_BambaraGroudhut_BE,P3337_BambaraGroudhut_BE,2898,c_000000000064,,lactate racemase [EC:5.1.2.1],
K07485,P3337_BambaraGroudhut_BE,P3337_BambaraGroudhut_BE,2894,c_000000000064,,transposase,
K07241,P3337_BambaraGroudhut_BE,P3337_BambaraGroudhut_BE,2899,c_000000000064,,nickel/cobalt transporter (NiCoT) family protein,
K01548,P3337_BambaraGroudhut_BE,P3337_BambaraGroudhut_BE,2455,c_000000000040,,potassium-transporting ATPase KdpC subunit,
K07646,P3337_BambaraGroudhut_BE,P3337_BambaraGroudhut_BE,2456,c_000000000040,,"two-component system, OmpR family, sensor histidine kinase KdpD [EC:2.7.13.3]",
K01547,P3337_BambaraGroudhut_BE,P3337_BambaraGroudhut_BE,2454,c_000000000040,,potassium-transporting ATPase ATP-binding subunit [EC:7.2.2.6],
K01546,P3337_BambaraGroudhut_BE,P3337_BambaraGroudhut_BE,2453,c_000000000040,,potassium-transporting ATPase potassium-binding subunit,
K03284,P3337_BambaraGroudhut_BE,P3337_BambaraGroudhut_BE,2847,c_000000000060,,magnesium transporter,
K07727,P3337_BambaraGroudhut_BE,P3337_BambaraGroudhut_BE,2234,c_000000000032,,putative transcriptional regulator,
K15773,P3337_BambaraGroudhut_BE,P3337_BambaraGroudhut_BE,2994,c_000000000073,,HTH-type transcriptional regulator / antitoxin HipB,
K03427,P3337_BambaraGroudhut_BE,P3337_BambaraGroudhut_BE,3172,c_000000000110,,type I restriction enzyme M protein [EC:2.1.1.72],
K16870,P3338_BambaraGroudhut_BE,P3338_BambaraGroudhut_BE,2722,c_000000000052,M00888,N-acetylglucosaminyl-diphospho-decaprenol L-rhamnosyltransferase [EC:2.4.1.289],
K10708,P3338_BambaraGroudhut_BE,P3338_BambaraGroudhut_BE,2703,c_000000000051,,fructoselysine 6-phosphate deglycase [EC:3.5.-.-],
K03573,P3338_BambaraGroudhut_BE,P3338_BambaraGroudhut_BE,2627,c_000000000045,,DNA mismatch repair protein MutH,
K02030,P3338_BambaraGroudhut_BE,P3338_BambaraGroudhut_BE,2708,c_000000000051,,polar amino acid transport system substrate-binding protein,
K02029,P3338_BambaraGroudhut_BE,P3338_BambaraGroudhut_BE,2707,c_000000000051,,polar amino acid transport system permease protein,
K10710,P3338_BambaraGroudhut_BE,P3338_BambaraGroudhut_BE,2704,c_000000000051,,fructoselysine 6-kinase [EC:2.7.1.218],
K16710,P3338_BambaraGroudhut_BE,P3338_BambaraGroudhut_BE,2494,c_000000000038,,colanic acid/amylovoran biosynthesis protein WcaK/AmsJ,
K09684,P3338_BambaraGroudhut_BE,P3338_BambaraGroudhut_BE,2637,c_000000000045,,"PucR family transcriptional regulator, purine catabolism regulatory protein",
K01200,P3340_RedCowpea_BE,P3340_RedCowpea_BE,2648,c_000000000017,M00855,pullulanase [EC:3.2.1.41],
K07316,P3340_RedCowpea_BE,P3340_RedCowpea_BE,2741,c_000000000022,,adenine-specific DNA-methyltransferase [EC:2.1.1.72],
K01156,P3340_RedCowpea_BE,P3340_RedCowpea_BE,2751,c_000000000022,,type III restriction enzyme [EC:3.1.21.5],
K01785,P3342_SorghumSeso_BE,P3342_SorghumSeso_BE,2332,c_000000000012,M00632,aldose 1-epimerase [EC:5.1.3.3],
K04708,P3342_SorghumSeso_BE,P3342_SorghumSeso_BE,2993,c_000000000034,"M00094,M00099",3-dehydrosphinganine reductase [EC:1.1.1.102],
K03465,P3342_SorghumSeso_BE,P3342_SorghumSeso_BE,2996,c_000000000035,M00938,thymidylate synthase (FAD) [EC:2.1.1.148],
K00287,P3342_SorghumSeso_BE,P3342_SorghumSeso_BE,2995,c_000000000035,"M00126,M00840",dihydrofolate reductase [EC:1.5.1.3],
K18220,P3342_SorghumSeso_BE,P3342_SorghumSeso_BE,2950,c_000000000029,,ribosomal protection tetracycline resistance protein,
K19271,P3342_SorghumSeso_BE,P3342_SorghumSeso_BE,2981,c_000000000032,,chloramphenicol O-acetyltransferase type A [EC:2.3.1.28],
K01953,P3342_SorghumSeso_BE,P3342_SorghumSeso_BE,1592,c_000000000005,,asparagine synthase (glutamine-hydrolysing) [EC:6.3.5.4],
K05593,P3342_SorghumSeso_BE,P3342_SorghumSeso_BE,2978,c_000000000032,,aminoglycoside 6-adenylyltransferase [EC:2.7.7.-],
K16710,P3342_SorghumSeso_BE,P3342_SorghumSeso_BE,2840,c_000000000023,,colanic acid/amylovoran biosynthesis protein WcaK/AmsJ,
K16710,P3342_SorghumSeso_BE,P3342_SorghumSeso_BE,1575,c_000000000005,,colanic acid/amylovoran biosynthesis protein WcaK/AmsJ,
K07497,P3342_SorghumSeso_BE,P3342_SorghumSeso_BE,2842,c_000000000023,,putative transposase,
K02774,P3342_SorghumSeso_BE,P3342_SorghumSeso_BE,2325,c_000000000012,,galactitol PTS system EIIB component [EC:2.7.1.200],
K02775,P3342_SorghumSeso_BE,P3342_SorghumSeso_BE,2328,c_000000000012,,galactitol PTS system EIIC component,
