enzyme,genome_name,db_name,gene_caller_id,contig,modules_with_enzyme,enzyme_definition,warnings
K03475,P1211_Sourdough_BE,P1211_Sourdough_BE,70,c_000000000001,M00550,ascorbate PTS system EIIC component,
K03077,P1211_Sourdough_BE,P1211_Sourdough_BE,84,c_000000000001,M00550,L-ribulose-5-phosphate 4-epimerase [EC:5.1.3.4],
K00975,P1211_Sourdough_BE,P1211_Sourdough_BE,153,c_000000000001,"M00854,M00565",glucose-1-phosphate adenylyltransferase [EC:2.7.7.27],
K00975,P1211_Sourdough_BE,P1211_Sourdough_BE,154,c_000000000001,"M00854,M00565",glucose-1-phosphate adenylyltransferase [EC:2.7.7.27],
K00703,P1211_Sourdough_BE,P1211_Sourdough_BE,155,c_000000000001,"M00854,M00565",starch synthase [EC:2.4.1.21],
K00700,P1211_Sourdough_BE,P1211_Sourdough_BE,152,c_000000000001,"M00854,M00565","1,4-alpha-glucan branching enzyme [EC:2.4.1.18]",
K00688,P1211_Sourdough_BE,P1211_Sourdough_BE,156,c_000000000001,M00855,glycogen phosphorylase [EC:2.4.1.1],
K01835,P1211_Sourdough_BE,P1211_Sourdough_BE,1351,c_000000000004,"M00855,M00549",phosphoglucomutase [EC:5.4.2.2],
K03781,P1211_Sourdough_BE,P1211_Sourdough_BE,94,c_000000000001,M00532,catalase [EC:1.11.1.6],
K00600,P1211_Sourdough_BE,P1211_Sourdough_BE,1868,c_000000000008,"M00532,M00346,M00975,M00140,M00141",glycine hydroxymethyltransferase [EC:2.1.2.1],
K02437,P1211_Sourdough_BE,P1211_Sourdough_BE,402,c_000000000001,M00532,glycine cleavage system H protein,
K02437,P1211_Sourdough_BE,P1211_Sourdough_BE,1885,c_000000000008,M00532,glycine cleavage system H protein,
K01092,P1211_Sourdough_BE,P1211_Sourdough_BE,1592,c_000000000006,M00131,myo-inositol-1(or 4)-monophosphatase [EC:3.1.3.25],
K00029,P1211_Sourdough_BE,P1211_Sourdough_BE,1710,c_000000000007,"M00169,M00172",malate dehydrogenase (oxaloacetate-decarboxylating)(NADP+) [EC:1.1.1.40],
K01007,P1211_Sourdough_BE,P1211_Sourdough_BE,802,c_000000000002,"M00173,M00374,M00614","pyruvate, water dikinase [EC:2.7.9.2]",
K01958,P1211_Sourdough_BE,P1211_Sourdough_BE,1584,c_000000000006,"M00173,M00614",pyruvate carboxylase [EC:6.4.1.1],
K01961,P1211_Sourdough_BE,P1211_Sourdough_BE,2287,c_000000000012,"M00376,M00082,M00613","acetyl-CoA carboxylase, biotin carboxylase subunit [EC:6.4.1.2 6.3.4.14]",
K01963,P1211_Sourdough_BE,P1211_Sourdough_BE,2286,c_000000000012,"M00376,M00082,M00613",acetyl-CoA carboxylase carboxyl transferase subunit beta [EC:6.4.1.2 2.1.3.15],
K02160,P1211_Sourdough_BE,P1211_Sourdough_BE,2288,c_000000000012,"M00376,M00082,M00613",acetyl-CoA carboxylase biotin carboxyl carrier protein,
K02160,P1211_Sourdough_BE,P1211_Sourdough_BE,452,c_000000000001,"M00376,M00082,M00613",acetyl-CoA carboxylase biotin carboxyl carrier protein,
K02160,P1211_Sourdough_BE,P1211_Sourdough_BE,605,c_000000000002,"M00376,M00082,M00613",acetyl-CoA carboxylase biotin carboxyl carrier protein,
K01938,P1211_Sourdough_BE,P1211_Sourdough_BE,692,c_000000000002,"M00377,M00140,M00618",formate--tetrahydrofolate ligase [EC:6.3.4.3],
K01491,P1211_Sourdough_BE,P1211_Sourdough_BE,1156,c_000000000003,"M00377,M00140,M00618",methylenetetrahydrofolate dehydrogenase (NADP+) / methenyltetrahydrofolate cyclohydrolase [EC:1.5.1.5 3.5.4.9],
K00625,P1211_Sourdough_BE,P1211_Sourdough_BE,1315,c_000000000004,"M00579,M00357,M00617,M00618",phosphate acetyltransferase [EC:2.3.1.8],
K00925,P1211_Sourdough_BE,P1211_Sourdough_BE,2530,c_000000000016,"M00579,M00357,M00617,M00618",acetate kinase [EC:2.7.2.1],
K00925,P1211_Sourdough_BE,P1211_Sourdough_BE,316,c_000000000001,"M00579,M00357,M00617,M00618",acetate kinase [EC:2.7.2.1],
K00925,P1211_Sourdough_BE,P1211_Sourdough_BE,407,c_000000000001,"M00579,M00357,M00617,M00618",acetate kinase [EC:2.7.2.1],
K05884,P1211_Sourdough_BE,P1211_Sourdough_BE,1740,c_000000000007,M00358,L-2-hydroxycarboxylate dehydrogenase (NAD+) [EC:1.1.1.337],
K05884,P1211_Sourdough_BE,P1211_Sourdough_BE,2767,c_000000000022,M00358,L-2-hydroxycarboxylate dehydrogenase (NAD+) [EC:1.1.1.337],
K00958,P1211_Sourdough_BE,P1211_Sourdough_BE,992,c_000000000003,"M00176,M00596,M00616",sulfate adenylyltransferase [EC:2.7.7.4],
K00860,P1211_Sourdough_BE,P1211_Sourdough_BE,993,c_000000000003,"M00176,M00616",adenylylsulfate kinase [EC:2.7.1.25],
K00425,P1211_Sourdough_BE,P1211_Sourdough_BE,1704,c_000000000007,M00153,cytochrome bd ubiquinol oxidase subunit I [EC:7.1.1.7],
K00426,P1211_Sourdough_BE,P1211_Sourdough_BE,1703,c_000000000007,M00153,cytochrome bd ubiquinol oxidase subunit II [EC:7.1.1.7],
K02111,P1211_Sourdough_BE,P1211_Sourdough_BE,1875,c_000000000008,M00157,F-type H+/Na+-transporting ATPase subunit alpha [EC:7.1.2.2 7.2.2.1],
K02112,P1211_Sourdough_BE,P1211_Sourdough_BE,1877,c_000000000008,M00157,F-type H+/Na+-transporting ATPase subunit beta [EC:7.1.2.2 7.2.2.1],
K02113,P1211_Sourdough_BE,P1211_Sourdough_BE,1874,c_000000000008,M00157,F-type H+-transporting ATPase subunit delta,
K02114,P1211_Sourdough_BE,P1211_Sourdough_BE,1878,c_000000000008,M00157,F-type H+-transporting ATPase subunit epsilon,
K02115,P1211_Sourdough_BE,P1211_Sourdough_BE,1876,c_000000000008,M00157,F-type H+-transporting ATPase subunit gamma,
K02108,P1211_Sourdough_BE,P1211_Sourdough_BE,1871,c_000000000008,M00157,F-type H+-transporting ATPase subunit a,
K02109,P1211_Sourdough_BE,P1211_Sourdough_BE,1873,c_000000000008,M00157,F-type H+-transporting ATPase subunit b,
K02110,P1211_Sourdough_BE,P1211_Sourdough_BE,1872,c_000000000008,M00157,F-type H+-transporting ATPase subunit c,
K00645,P1211_Sourdough_BE,P1211_Sourdough_BE,602,c_000000000002,"M00082,M00873,M00874,M00885,M00886",[acyl-carrier-protein] S-malonyltransferase [EC:2.3.1.39],
K00648,P1211_Sourdough_BE,P1211_Sourdough_BE,600,c_000000000002,M00082,3-oxoacyl-[acyl-carrier-protein] synthase III [EC:2.3.1.180],
K00648,P1211_Sourdough_BE,P1211_Sourdough_BE,2289,c_000000000012,M00082,3-oxoacyl-[acyl-carrier-protein] synthase III [EC:2.3.1.180],
K09458,P1211_Sourdough_BE,P1211_Sourdough_BE,604,c_000000000002,"M00083,M00873,M00874,M00572",3-oxoacyl-[acyl-carrier-protein] synthase II [EC:2.3.1.179],
K00059,P1211_Sourdough_BE,P1211_Sourdough_BE,1498,c_000000000005,"M00083,M00874,M00572",3-oxoacyl-[acyl-carrier protein] reductase [EC:1.1.1.100],
K00059,P1211_Sourdough_BE,P1211_Sourdough_BE,603,c_000000000002,"M00083,M00874,M00572",3-oxoacyl-[acyl-carrier protein] reductase [EC:1.1.1.100],
K00059,P1211_Sourdough_BE,P1211_Sourdough_BE,268,c_000000000001,"M00083,M00874,M00572",3-oxoacyl-[acyl-carrier protein] reductase [EC:1.1.1.100],
K02372,P1211_Sourdough_BE,P1211_Sourdough_BE,606,c_000000000002,"M00083,M00572",3-hydroxyacyl-[acyl-carrier-protein] dehydratase [EC:4.2.1.59],
K02372,P1211_Sourdough_BE,P1211_Sourdough_BE,599,c_000000000002,"M00083,M00572",3-hydroxyacyl-[acyl-carrier-protein] dehydratase [EC:4.2.1.59],
K00208,P1211_Sourdough_BE,P1211_Sourdough_BE,610,c_000000000002,"M00083,M00572",enoyl-[acyl-carrier protein] reductase I [EC:1.3.1.9 1.3.1.10],
K02371,P1211_Sourdough_BE,P1211_Sourdough_BE,1231,c_000000000004,M00083,enoyl-[acyl-carrier protein] reductase II [EC:1.3.1.9],
K02078,P1211_Sourdough_BE,P1211_Sourdough_BE,1184,c_000000000003,"M00885,M00886,M00848",acyl carrier protein,
K02078,P1211_Sourdough_BE,P1211_Sourdough_BE,601,c_000000000002,"M00885,M00886,M00848",acyl carrier protein,
K01641,P1211_Sourdough_BE,P1211_Sourdough_BE,928,c_000000000002,"M00088,M00095,M00849",hydroxymethylglutaryl-CoA synthase [EC:2.3.3.10],
K00019,P1211_Sourdough_BE,P1211_Sourdough_BE,597,c_000000000002,M00088,3-hydroxybutyrate dehydrogenase [EC:1.1.1.30],
K00655,P1211_Sourdough_BE,P1211_Sourdough_BE,923,c_000000000002,M00089,1-acyl-sn-glycerol-3-phosphate acyltransferase [EC:2.3.1.51],
K00981,P1211_Sourdough_BE,P1211_Sourdough_BE,914,c_000000000002,M00093,phosphatidate cytidylyltransferase [EC:2.7.7.41],
K04708,P1211_Sourdough_BE,P1211_Sourdough_BE,184,c_000000000001,"M00094,M00099",3-dehydrosphinganine reductase [EC:1.1.1.102],
K04708,P1211_Sourdough_BE,P1211_Sourdough_BE,2139,c_000000000011,"M00094,M00099",3-dehydrosphinganine reductase [EC:1.1.1.102],
K04708,P1211_Sourdough_BE,P1211_Sourdough_BE,597,c_000000000002,"M00094,M00099",3-dehydrosphinganine reductase [EC:1.1.1.102],
K00764,P1211_Sourdough_BE,P1211_Sourdough_BE,1461,c_000000000005,M00048,amidophosphoribosyltransferase [EC:2.4.2.14],
K01945,P1211_Sourdough_BE,P1211_Sourdough_BE,1457,c_000000000005,M00048,phosphoribosylamine---glycine ligase [EC:6.3.4.13],
K11175,P1211_Sourdough_BE,P1211_Sourdough_BE,1459,c_000000000005,M00048,phosphoribosylglycinamide formyltransferase 1 [EC:2.1.2.2],
K23269,P1211_Sourdough_BE,P1211_Sourdough_BE,1462,c_000000000005,M00048,phosphoribosylformylglycinamidine synthase subunit PurL [EC:6.3.5.3],
K23264,P1211_Sourdough_BE,P1211_Sourdough_BE,1464,c_000000000005,M00048,phosphoribosylformylglycinamidine synthase subunit PurS [EC:6.3.5.3],
K23265,P1211_Sourdough_BE,P1211_Sourdough_BE,1463,c_000000000005,M00048,phosphoribosylformylglycinamidine synthase subunit PurQ / glutaminase [EC:6.3.5.3 3.5.1.2],
K01933,P1211_Sourdough_BE,P1211_Sourdough_BE,1460,c_000000000005,M00048,phosphoribosylformylglycinamidine cyclo-ligase [EC:6.3.3.1],
K01589,P1211_Sourdough_BE,P1211_Sourdough_BE,1466,c_000000000005,M00048,5-(carboxyamino)imidazole ribonucleotide synthase [EC:6.3.4.18],
K01589,P1211_Sourdough_BE,P1211_Sourdough_BE,1693,c_000000000007,M00048,5-(carboxyamino)imidazole ribonucleotide synthase [EC:6.3.4.18],
K01588,P1211_Sourdough_BE,P1211_Sourdough_BE,1467,c_000000000005,M00048,5-(carboxyamino)imidazole ribonucleotide mutase [EC:5.4.99.18],
K01923,P1211_Sourdough_BE,P1211_Sourdough_BE,1465,c_000000000005,M00048,phosphoribosylaminoimidazole-succinocarboxamide synthase [EC:6.3.2.6],
K01756,P1211_Sourdough_BE,P1211_Sourdough_BE,2115,c_000000000010,"M00048,M00049",adenylosuccinate lyase [EC:4.3.2.2],
K00602,P1211_Sourdough_BE,P1211_Sourdough_BE,1458,c_000000000005,M00048,phosphoribosylaminoimidazolecarboxamide formyltransferase / IMP cyclohydrolase [EC:2.1.2.3 3.5.4.10],
K01939,P1211_Sourdough_BE,P1211_Sourdough_BE,2116,c_000000000010,M00049,adenylosuccinate synthase [EC:6.3.4.4],
K00939,P1211_Sourdough_BE,P1211_Sourdough_BE,1761,c_000000000007,M00049,adenylate kinase [EC:2.7.4.3],
K00940,P1211_Sourdough_BE,P1211_Sourdough_BE,342,c_000000000001,"M00049,M00050,M00053,M00052,M00938",nucleoside-diphosphate kinase [EC:2.7.4.6],
K00088,P1211_Sourdough_BE,P1211_Sourdough_BE,2054,c_000000000010,M00050,IMP dehydrogenase [EC:1.1.1.205],
K01951,P1211_Sourdough_BE,P1211_Sourdough_BE,194,c_000000000001,M00050,GMP synthase (glutamine-hydrolysing) [EC:6.3.5.2],
K01951,P1211_Sourdough_BE,P1211_Sourdough_BE,1229,c_000000000004,M00050,GMP synthase (glutamine-hydrolysing) [EC:6.3.5.2],
K00942,P1211_Sourdough_BE,P1211_Sourdough_BE,1168,c_000000000003,M00050,guanylate kinase [EC:2.7.4.8],
K00525,P1211_Sourdough_BE,P1211_Sourdough_BE,2254,c_000000000012,"M00053,M00938",ribonucleoside-diphosphate reductase alpha chain [EC:1.17.4.1],
K00526,P1211_Sourdough_BE,P1211_Sourdough_BE,2255,c_000000000012,"M00053,M00938",ribonucleoside-diphosphate reductase beta chain [EC:1.17.4.1],
K01955,P1211_Sourdough_BE,P1211_Sourdough_BE,1444,c_000000000005,"M00051,M00978",carbamoyl-phosphate synthase large subunit [EC:6.3.5.5],
K01955,P1211_Sourdough_BE,P1211_Sourdough_BE,556,c_000000000001,"M00051,M00978",carbamoyl-phosphate synthase large subunit [EC:6.3.5.5],
K01956,P1211_Sourdough_BE,P1211_Sourdough_BE,696,c_000000000002,"M00051,M00978",carbamoyl-phosphate synthase small subunit [EC:6.3.5.5],
K01956,P1211_Sourdough_BE,P1211_Sourdough_BE,557,c_000000000001,"M00051,M00978",carbamoyl-phosphate synthase small subunit [EC:6.3.5.5],
K01956,P1211_Sourdough_BE,P1211_Sourdough_BE,1445,c_000000000005,"M00051,M00978",carbamoyl-phosphate synthase small subunit [EC:6.3.5.5],
K00609,P1211_Sourdough_BE,P1211_Sourdough_BE,1447,c_000000000005,M00051,aspartate carbamoyltransferase catalytic subunit [EC:2.1.3.2],
K01465,P1211_Sourdough_BE,P1211_Sourdough_BE,1446,c_000000000005,M00051,dihydroorotase [EC:3.5.2.3],
K17828,P1211_Sourdough_BE,P1211_Sourdough_BE,1443,c_000000000005,M00051,dihydroorotate dehydrogenase (NAD+) catalytic subunit [EC:1.3.1.14],
K00762,P1211_Sourdough_BE,P1211_Sourdough_BE,1441,c_000000000005,M00051,orotate phosphoribosyltransferase [EC:2.4.2.10],
K01591,P1211_Sourdough_BE,P1211_Sourdough_BE,1442,c_000000000005,M00051,orotidine-5'-phosphate decarboxylase [EC:4.1.1.23],
K09903,P1211_Sourdough_BE,P1211_Sourdough_BE,917,c_000000000002,M00052,uridylate kinase [EC:2.7.4.22],
K01937,P1211_Sourdough_BE,P1211_Sourdough_BE,532,c_000000000001,M00052,CTP synthase [EC:6.3.4.2],
K01520,P1211_Sourdough_BE,P1211_Sourdough_BE,2276,c_000000000012,M00938,dUTP diphosphatase [EC:3.6.1.23],
K00560,P1211_Sourdough_BE,P1211_Sourdough_BE,767,c_000000000002,M00938,thymidylate synthase [EC:2.1.1.45],
K00943,P1211_Sourdough_BE,P1211_Sourdough_BE,2246,c_000000000012,M00938,dTMP kinase [EC:2.7.4.9],
K00058,P1211_Sourdough_BE,P1211_Sourdough_BE,308,c_000000000001,M00020,D-3-phosphoglycerate dehydrogenase / 2-oxoglutarate reductase [EC:1.1.1.95 1.1.1.399],
K00058,P1211_Sourdough_BE,P1211_Sourdough_BE,1335,c_000000000004,M00020,D-3-phosphoglycerate dehydrogenase / 2-oxoglutarate reductase [EC:1.1.1.95 1.1.1.399],
K00831,P1211_Sourdough_BE,P1211_Sourdough_BE,309,c_000000000001,"M00020,M00124",phosphoserine aminotransferase [EC:2.6.1.52],
K00928,P1211_Sourdough_BE,P1211_Sourdough_BE,2748,c_000000000021,"M00018,M00033,M00017,M00016,M00525,M00526,M00527",aspartate kinase [EC:2.7.2.4],
K00928,P1211_Sourdough_BE,P1211_Sourdough_BE,2918,c_000000000028,"M00018,M00033,M00017,M00016,M00525,M00526,M00527",aspartate kinase [EC:2.7.2.4],
K00133,P1211_Sourdough_BE,P1211_Sourdough_BE,2352,c_000000000013,"M00018,M00033,M00017,M00016,M00525,M00526,M00527",aspartate-semialdehyde dehydrogenase [EC:1.2.1.11],
K00003,P1211_Sourdough_BE,P1211_Sourdough_BE,2299,c_000000000012,"M00018,M00017",homoserine dehydrogenase [EC:1.1.1.3],
K00003,P1211_Sourdough_BE,P1211_Sourdough_BE,2956,c_000000000030,"M00018,M00017",homoserine dehydrogenase [EC:1.1.1.3],
K00872,P1211_Sourdough_BE,P1211_Sourdough_BE,2298,c_000000000012,M00018,homoserine kinase [EC:2.7.1.39],
K01733,P1211_Sourdough_BE,P1211_Sourdough_BE,1492,c_000000000005,M00018,threonine synthase [EC:4.2.3.1],
K01752,P1211_Sourdough_BE,P1211_Sourdough_BE,536,c_000000000001,M00975,L-serine dehydratase [EC:4.3.1.17],
K01752,P1211_Sourdough_BE,P1211_Sourdough_BE,535,c_000000000001,M00975,L-serine dehydratase [EC:4.3.1.17],
K00640,P1211_Sourdough_BE,P1211_Sourdough_BE,354,c_000000000001,M00021,serine O-acetyltransferase [EC:2.3.1.30],
K00789,P1211_Sourdough_BE,P1211_Sourdough_BE,938,c_000000000003,"M00609,M00034,M00035,M00368,M00953",S-adenosylmethionine synthetase [EC:2.5.1.6],
K01243,P1211_Sourdough_BE,P1211_Sourdough_BE,1618,c_000000000006,"M00609,M00034",adenosylhomocysteine nucleosidase [EC:3.2.2.9],
K07173,P1211_Sourdough_BE,P1211_Sourdough_BE,1343,c_000000000004,M00609,S-ribosylhomocysteine lyase [EC:4.4.1.21],
K00651,P1211_Sourdough_BE,P1211_Sourdough_BE,2954,c_000000000030,M00017,homoserine O-succinyltransferase/O-acetyltransferase [EC:2.3.1.46 2.3.1.31],
K14155,P1211_Sourdough_BE,P1211_Sourdough_BE,2185,c_000000000011,M00017,cysteine-S-conjugate beta-lyase [EC:4.4.1.13],
K14155,P1211_Sourdough_BE,P1211_Sourdough_BE,1487,c_000000000005,M00017,cysteine-S-conjugate beta-lyase [EC:4.4.1.13],
K24042,P1211_Sourdough_BE,P1211_Sourdough_BE,989,c_000000000003,M00017,methionine synthase / methylenetetrahydrofolate reductase (NADH) [EC:2.1.1.13 1.5.1.54],
K00549,P1211_Sourdough_BE,P1211_Sourdough_BE,2130,c_000000000010,M00017,5-methyltetrahydropteroyltriglutamate--homocysteine methyltransferase [EC:2.1.1.14],
K00549,P1211_Sourdough_BE,P1211_Sourdough_BE,756,c_000000000002,M00017,5-methyltetrahydropteroyltriglutamate--homocysteine methyltransferase [EC:2.1.1.14],
K00549,P1211_Sourdough_BE,P1211_Sourdough_BE,990,c_000000000003,M00017,5-methyltetrahydropteroyltriglutamate--homocysteine methyltransferase [EC:2.1.1.14],
K08969,P1211_Sourdough_BE,P1211_Sourdough_BE,434,c_000000000001,M00034,L-glutamine---4-(methylsulfanyl)-2-oxobutanoate aminotransferase [EC:2.6.1.117],
K00558,P1211_Sourdough_BE,P1211_Sourdough_BE,2700,c_000000000020,M00035,DNA (cytosine-5)-methyltransferase 1 [EC:2.1.1.37],
K01652,P1211_Sourdough_BE,P1211_Sourdough_BE,2913,c_000000000027,"M00019,M00570",acetolactate synthase I/II/III large subunit [EC:2.2.1.6],
K00826,P1211_Sourdough_BE,P1211_Sourdough_BE,1858,c_000000000008,"M00019,M00570,M00036,M00119",branched-chain amino acid aminotransferase [EC:2.6.1.42],
K00166,P1211_Sourdough_BE,P1211_Sourdough_BE,1598,c_000000000006,M00036,2-oxoisovalerate dehydrogenase E1 component subunit alpha [EC:1.2.4.4],
K09699,P1211_Sourdough_BE,P1211_Sourdough_BE,1596,c_000000000006,M00036,2-oxoisovalerate dehydrogenase E2 component (dihydrolipoyl transacylase) [EC:2.3.1.168],
K01714,P1211_Sourdough_BE,P1211_Sourdough_BE,1432,c_000000000005,"M00016,M00525,M00526,M00527",4-hydroxy-tetrahydrodipicolinate synthase [EC:4.3.3.7],
K01714,P1211_Sourdough_BE,P1211_Sourdough_BE,1572,c_000000000006,"M00016,M00525,M00526,M00527",4-hydroxy-tetrahydrodipicolinate synthase [EC:4.3.3.7],
K00215,P1211_Sourdough_BE,P1211_Sourdough_BE,771,c_000000000002,"M00016,M00525,M00526,M00527",4-hydroxy-tetrahydrodipicolinate reductase [EC:1.17.1.8],
K01439,P1211_Sourdough_BE,P1211_Sourdough_BE,813,c_000000000002,M00016,succinyl-diaminopimelate desuccinylase [EC:3.5.1.18],
K01439,P1211_Sourdough_BE,P1211_Sourdough_BE,2143,c_000000000011,M00016,succinyl-diaminopimelate desuccinylase [EC:3.5.1.18],
