locus_tag	ftype	length_bp	gene	EC_number	COG	product
BMKFACGC_00197	CDS	2022				hypothetical protein
BMKFACGC_00198	CDS	804				hypothetical protein
BMKFACGC_00199	CDS	504	ybaK	4.2.-.-	COG2606	Cys-tRNA(Pro)/Cys-tRNA(Cys) deacylase YbaK
BMKFACGC_00200	CDS	690	nagR_1		COG2188	HTH-type transcriptional repressor NagR
BMKFACGC_00201	CDS	672				hypothetical protein
BMKFACGC_00202	CDS	483	greA_1		COG0782	Transcription elongation factor GreA
BMKFACGC_00203	CDS	423				hypothetical protein
BMKFACGC_00204	CDS	681	agrA			Accessory gene regulator A
BMKFACGC_00205	CDS	1326				hypothetical protein
BMKFACGC_00206	CDS	1347				hypothetical protein
BMKFACGC_00207	CDS	741	adh_1	1.1.1.-		NADP-dependent (R)-specific alcohol dehydrogenase
BMKFACGC_00208	CDS	90				hypothetical protein
BMKFACGC_00209	CDS	888	rluD_1	5.4.99.23	COG0564	Ribosomal large subunit pseudouridine synthase D
BMKFACGC_00210	CDS	456				Putative universal stress protein
BMKFACGC_00211	CDS	972	mneS_1		COG0053	Manganese efflux system protein MneS
BMKFACGC_00212	CDS	1716	stp_1		COG0477	Multidrug resistance protein Stp
BMKFACGC_00213	CDS	534				hypothetical protein
BMKFACGC_00214	CDS	1809	oppA			Oligopeptide-binding protein OppA
BMKFACGC_00215	CDS	951	oppC		COG1173	Oligopeptide transport system permease protein OppC
BMKFACGC_00216	CDS	960	oppB		COG0601	Oligopeptide transport system permease protein OppB
BMKFACGC_00217	CDS	975	oppF_1	7.4.2.6	COG4608	Oligopeptide transport ATP-binding protein OppF
BMKFACGC_00218	CDS	1014	oppD	7.4.2.6	COG0444	Oligopeptide transport ATP-binding protein OppD
BMKFACGC_00219	CDS	465				hypothetical protein
BMKFACGC_00220	CDS	1014	lplJ_1	6.3.1.20	COG0095	Lipoate-protein ligase LplJ
BMKFACGC_00221	CDS	420				hypothetical protein
BMKFACGC_00222	CDS	480				hypothetical protein
BMKFACGC_00223	CDS	810				hypothetical protein
BMKFACGC_00224	CDS	96				hypothetical protein
BMKFACGC_00225	CDS	1350	xylA	5.3.1.5		Xylose isomerase
BMKFACGC_00226	CDS	1509	xylB_2	2.7.1.17		Xylulose kinase
BMKFACGC_00227	CDS	1485	xylT_1			D-xylose transporter
BMKFACGC_00228	CDS	780	butA	1.1.1.304		Diacetyl reductase [(S)-acetoin forming]
BMKFACGC_00229	CDS	375	fra		COG5646	Intracellular iron chaperone frataxin
BMKFACGC_00230	CDS	2562				hypothetical protein
BMKFACGC_00231	CDS	522				Putative universal stress protein
BMKFACGC_00232	CDS	510				hypothetical protein
BMKFACGC_00233	CDS	1173	dapE_1	3.5.1.18		putative succinyl-diaminopimelate desuccinylase
BMKFACGC_00234	CDS	756				hypothetical protein
BMKFACGC_00235	CDS	624				hypothetical protein
BMKFACGC_00236	CDS	903		1.1.1.-	COG0656	Aldo-keto reductase/MSMEI_2347
BMKFACGC_00237	CDS	390				hypothetical protein
BMKFACGC_00238	CDS	534				hypothetical protein
BMKFACGC_00239	CDS	1443	nhaC_1		COG1757	Na(+)/H(+) antiporter NhaC
BMKFACGC_00240	CDS	1074				hypothetical protein
BMKFACGC_00241	CDS	1002	hgdH	1.1.1.399	COG1052	(R)-2-hydroxyglutarate dehydrogenase
BMKFACGC_00242	CDS	1593	dcuS	2.7.13.3	COG3290	Sensor histidine kinase DcuS
BMKFACGC_00243	CDS	717	dcuR		COG4565	Transcriptional regulatory protein DcuR
BMKFACGC_00244	CDS	1335				hypothetical protein
BMKFACGC_00245	CDS	618				hypothetical protein
BMKFACGC_00246	CDS	657				hypothetical protein
BMKFACGC_00247	CDS	432			COG3039	IS5 family transposase ISLpl3
BMKFACGC_00248	CDS	372			COG3039	IS5 family transposase ISLpl3
BMKFACGC_00249	CDS	525				hypothetical protein
BMKFACGC_00250	CDS	864				hypothetical protein
BMKFACGC_00251	CDS	1461				hypothetical protein
BMKFACGC_00252	CDS	168				hypothetical protein
BMKFACGC_00253	CDS	465				hypothetical protein
BMKFACGC_00254	CDS	195				hypothetical protein
BMKFACGC_00255	CDS	537	padC	4.1.1.102	COG3479	Phenolic acid decarboxylase PadC
BMKFACGC_00256	CDS	501	padR		COG1695	Negative transcriptional regulator PadR
BMKFACGC_00257	CDS	567				hypothetical protein
BMKFACGC_00258	CDS	1035			COG0451	3 beta-hydroxysteroid dehydrogenase/Delta 5-->4-isomerase
BMKFACGC_00259	CDS	444	elaA_2		COG2153	Protein ElaA
BMKFACGC_00260	CDS	453				hypothetical protein
BMKFACGC_00261	CDS	345				hypothetical protein
BMKFACGC_00262	CDS	420				hypothetical protein
BMKFACGC_00263	CDS	552				hypothetical protein
BMKFACGC_00264	CDS	567				hypothetical protein
BMKFACGC_00265	CDS	648				hypothetical protein
BMKFACGC_00266	CDS	438				Putative universal stress protein
BMKFACGC_00267	CDS	1455	mntH_1			Divalent metal cation transporter MntH
BMKFACGC_00268	CDS	2049				hypothetical protein
BMKFACGC_00269	CDS	372			COG3039	IS5 family transposase ISLpl3
BMKFACGC_00270	CDS	432			COG3039	IS5 family transposase ISLpl3
BMKFACGC_00271	CDS	987	guaC	1.7.1.7		GMP reductase
BMKFACGC_00272	CDS	1287	purA	6.3.4.4	COG0104	Adenylosuccinate synthetase
BMKFACGC_00273	CDS	1299	purB	4.3.2.2	COG0015	Adenylosuccinate lyase
BMKFACGC_00274	CDS	906				hypothetical protein
BMKFACGC_00275	CDS	1413	gabD1_1	1.2.1.79	COG1012	Succinate-semialdehyde dehydrogenase [NADP(+)] 1
BMKFACGC_00276	CDS	915				hypothetical protein
BMKFACGC_00277	CDS	579	fadR		COG1309	Fatty acid metabolism regulator protein
BMKFACGC_00278	CDS	933	menH_1	4.2.99.20		2-succinyl-6-hydroxy-2,4-cyclohexadiene-1-carboxylate synthase
BMKFACGC_00279	CDS	822	ptpB_1	3.1.3.-	COG2365	Triple specificity protein phosphatase PtpB
BMKFACGC_00280	CDS	885	mlhB	3.1.1.83		Monoterpene epsilon-lactone hydrolase
BMKFACGC_00281	CDS	1842	scpA_1	3.4.21.-		Kumamolisin-As
BMKFACGC_00282	CDS	651				hypothetical protein
BMKFACGC_00283	CDS	735		2.4.2.-	COG2071	Putative glutamine amidotransferase
BMKFACGC_00284	CDS	252				hypothetical protein
BMKFACGC_00285	CDS	648	nth_1	4.2.99.18		Endonuclease III
BMKFACGC_00286	CDS	1515	glpK_1	2.7.1.30	COG0554	Glycerol kinase
BMKFACGC_00287	CDS	1035				hypothetical protein
BMKFACGC_00288	CDS	873				hypothetical protein
BMKFACGC_00289	CDS	2223	bglB_1	3.2.1.21	COG1472	Thermostable beta-glucosidase B
BMKFACGC_00290	CDS	870	rhaR_1			HTH-type transcriptional activator RhaR
BMKFACGC_00291	CDS	1992	bgaA	3.2.1.23	COG1874	Beta-galactosidase BgaA
BMKFACGC_00292	CDS	744				hypothetical protein
BMKFACGC_00293	CDS	339			COG3039	IS5 family transposase ISCaa8
BMKFACGC_00294	CDS	309				hypothetical protein
BMKFACGC_00295	CDS	552				hypothetical protein
BMKFACGC_00296	CDS	1230				hypothetical protein
BMKFACGC_00297	CDS	552	trtA	3.5.1.-		Triuret hydrolase TrtA
BMKFACGC_00298	CDS	318				hypothetical protein
BMKFACGC_00299	CDS	639				hypothetical protein
BMKFACGC_00300	CDS	975				hypothetical protein
BMKFACGC_00301	CDS	996	dus	1.3.1.-		putative tRNA-dihydrouridine synthase
BMKFACGC_00302	CDS	1200	fabV	1.3.1.9		Enoyl-[acyl-carrier-protein] reductase [NADH]
BMKFACGC_00303	CDS	444				Flavodoxin
BMKFACGC_00304	CDS	525				hypothetical protein
BMKFACGC_00305	CDS	1368	thrP		COG1113	Threonine/serine transporter ThrP
BMKFACGC_00306	CDS	663				hypothetical protein
BMKFACGC_00307	CDS	609				hypothetical protein
BMKFACGC_00308	CDS	2193				hypothetical protein
BMKFACGC_00309	CDS	1236	dapE_2	3.5.1.18		putative succinyl-diaminopimelate desuccinylase
BMKFACGC_00310	CDS	930			COG2826	IS30 family transposase ISLpl1
BMKFACGC_00311	CDS	969	adhA_1	1.1.1.1	COG1064	Alcohol dehydrogenase 1
BMKFACGC_00312	CDS	417				hypothetical protein
BMKFACGC_00313	CDS	1026			COG2826	IS30 family transposase ISSag3
BMKFACGC_00314	CDS	930	btuD_1	7.6.2.8		Vitamin B12 import ATP-binding protein BtuD
BMKFACGC_00315	CDS	1521	egtUBC		COG1174	putative ergothioneine transporter EgtUBC
BMKFACGC_00316	CDS	267				hypothetical protein
BMKFACGC_00317	CDS	1125				hypothetical protein
BMKFACGC_00318	CDS	555				hypothetical protein
BMKFACGC_00319	CDS	495				hypothetical protein
BMKFACGC_00320	CDS	2748	ctpF	7.2.2.-		putative cation-transporting ATPase F
BMKFACGC_00321	CDS	1422	pepDA_1	3.4.13.19	COG4690	Dipeptidase A
BMKFACGC_00322	CDS	996				hypothetical protein
BMKFACGC_00323	CDS	576	maa_2	2.3.1.79	COG0110	Maltose O-acetyltransferase
BMKFACGC_00324	CDS	648				hypothetical protein
BMKFACGC_00325	CDS	945	yicL_1		COG0697	putative inner membrane transporter YicL
BMKFACGC_00326	CDS	2073	copB	7.2.2.8	COG2217	Copper-exporting P-type ATPase B
BMKFACGC_00327	CDS	447	copY		COG3682	Transcriptional repressor CopY
BMKFACGC_00328	CDS	1272				hypothetical protein
BMKFACGC_00329	CDS	846	ytbE_1	1.-.-.-	COG0656	putative oxidoreductase YtbE
BMKFACGC_00330	CDS	1926	pacS	7.2.2.8	COG2217	putative copper-transporting ATPase PacS
BMKFACGC_00331	CDS	372				hypothetical protein
BMKFACGC_00332	CDS	93				hypothetical protein
BMKFACGC_00333	CDS	849	icaB	3.5.1.-		Poly-beta-1,6-N-acetyl-D-glucosamine N-deacetylase
BMKFACGC_00334	CDS	825	xerC_1			Tyrosine recombinase XerC
BMKFACGC_00335	CDS	1044	add	3.5.4.4	COG1816	Adenosine deaminase
BMKFACGC_00336	CDS	1941	oatA	2.3.1.-	COG1835	Peptidoglycan O-acetyltransferase OatA
BMKFACGC_00337	CDS	753				hypothetical protein
BMKFACGC_00338	CDS	1695	cla-hy	4.2.1.-		Linoleate hydratase
BMKFACGC_00339	CDS	585	spsB_1	3.4.21.89		Signal peptidase IB
BMKFACGC_00340	CDS	387	cdd	3.5.4.5	COG0295	Cytidine deaminase
BMKFACGC_00341	CDS	240				hypothetical protein
BMKFACGC_00342	CDS	624				hypothetical protein
BMKFACGC_00343	CDS	1332	xylP_1			Isoprimeverose transporter
BMKFACGC_00344	CDS	522	yagU		COG3477	Inner membrane protein YagU
BMKFACGC_00345	CDS	2277	uvrA_1			UvrABC system protein A
BMKFACGC_00346	CDS	390				hypothetical protein
BMKFACGC_00347	CDS	1542				hypothetical protein
BMKFACGC_00348	CDS	1338				hypothetical protein
BMKFACGC_00349	CDS	663	opuCD		COG1174	Glycine betaine/carnitine/choline transport system permease protein OpuCD
BMKFACGC_00350	CDS	933	opuCC		COG1732	Glycine betaine/carnitine/choline-binding protein OpuCC
BMKFACGC_00351	CDS	627	opuCB			Carnitine transport permease protein OpuCB
BMKFACGC_00352	CDS	1206	opuCA	7.6.2.9		Carnitine transport ATP-binding protein OpuCA
BMKFACGC_00353	CDS	480				hypothetical protein
BMKFACGC_00354	CDS	1230	sbnD_1		COG2814	Staphyloferrin B transporter
BMKFACGC_00355	CDS	954	dyp	1.11.1.7	COG2837	Dye-decolorizing peroxidase
BMKFACGC_00356	CDS	1167	patB	4.4.1.13	COG1168	Cystathionine beta-lyase PatB
BMKFACGC_00357	CDS	858				hypothetical protein
BMKFACGC_00358	CDS	2049				hypothetical protein
BMKFACGC_00359	CDS	1020	ykoT_1	2.4.-.-	COG0463	putative glycosyltransferase YkoT
BMKFACGC_00360	CDS	1350				hypothetical protein
BMKFACGC_00361	CDS	642				hypothetical protein
BMKFACGC_00362	CDS	1173				hypothetical protein
BMKFACGC_00363	CDS	1476				hypothetical protein
BMKFACGC_00364	CDS	660			COG1136	putative ABC transporter ATP-binding protein
BMKFACGC_00365	CDS	1638	malL_1	3.2.1.10	COG0366	Oligo-1,6-glucosidase
BMKFACGC_00366	CDS	462				hypothetical protein
BMKFACGC_00367	CDS	753	pnuC_1			Nicotinamide riboside transporter PnuC
BMKFACGC_00368	CDS	918				hypothetical protein
BMKFACGC_00369	CDS	1761	pox5	1.2.3.3	COG0028	Pyruvate oxidase
BMKFACGC_00370	CDS	420				hypothetical protein
BMKFACGC_00371	CDS	249				hypothetical protein
BMKFACGC_00372	CDS	1116	sasA_1	2.7.13.3		Adaptive-response sensory-kinase SasA
BMKFACGC_00373	CDS	285	mprA_1		COG0745	Response regulator MprA
BMKFACGC_00374	CDS	159				hypothetical protein
BMKFACGC_00375	CDS	990			COG2826	IS30 family transposase ISSlu1
BMKFACGC_00376	CDS	804			COG2826	IS30 family transposase ISLpl1
BMKFACGC_00377	CDS	477	rssB			Regulator of RpoS
BMKFACGC_00378	CDS	297				hypothetical protein
BMKFACGC_00379	CDS	657	yhfK_2	4.-.-.-	COG0702	putative sugar epimerase YhfK
BMKFACGC_00380	CDS	1212		1.6.5.9	COG1252	Type II NADH:quinone oxidoreductase
