query,genome,gene_cluster,gene_callers_id,subject,%pident,alignment_length,e-value,bitscore,function
00000034|gene_cluster_GC_00001573|genome_name_P568_Madre_SD_BE|gene_callers_id_874,P568_Madre_SD_BE,GC_00001573,874,Unknown,0.0,0.0,-,0.0,Unknown - no BLAST hit found
00000035|gene_cluster_GC_00001301|genome_name_P568_Madre_SD_BE|gene_callers_id_410,P568_Madre_SD_BE,GC_00001301,410,sp|P37247|TRA4_BACFG,30.061,326.0,1.71e-26,109.0,sp|P37247|TRA4_BACFG Transposase for insertion sequence element IS4351 OS=Bacteroides fragilis OX=817 PE=3 SV=1
00000036|gene_cluster_GC_00001301|genome_name_P568_Madre_SD_BE|gene_callers_id_544,P568_Madre_SD_BE,GC_00001301,544,sp|P37247|TRA4_BACFG,30.061,326.0,1.71e-26,109.0,sp|P37247|TRA4_BACFG Transposase for insertion sequence element IS4351 OS=Bacteroides fragilis OX=817 PE=3 SV=1
00000037|gene_cluster_GC_00001301|genome_name_P568_Madre_SD_BE|gene_callers_id_693,P568_Madre_SD_BE,GC_00001301,693,sp|P37247|TRA4_BACFG,30.061,326.0,1.71e-26,109.0,sp|P37247|TRA4_BACFG Transposase for insertion sequence element IS4351 OS=Bacteroides fragilis OX=817 PE=3 SV=1
00000038|gene_cluster_GC_00001301|genome_name_P568_Madre_SD_BE|gene_callers_id_1201,P568_Madre_SD_BE,GC_00001301,1201,sp|P37247|TRA4_BACFG,30.061,326.0,1.71e-26,109.0,sp|P37247|TRA4_BACFG Transposase for insertion sequence element IS4351 OS=Bacteroides fragilis OX=817 PE=3 SV=1
00000039|gene_cluster_GC_00001301|genome_name_P568_Madre_SD_BE|gene_callers_id_1421,P568_Madre_SD_BE,GC_00001301,1421,sp|P37247|TRA4_BACFG,30.061,326.0,1.71e-26,109.0,sp|P37247|TRA4_BACFG Transposase for insertion sequence element IS4351 OS=Bacteroides fragilis OX=817 PE=3 SV=1
00000040|gene_cluster_GC_00001471|genome_name_P568_Madre_SD_BE|gene_callers_id_1436,P568_Madre_SD_BE,GC_00001471,1436,Unknown,0.0,0.0,-,0.0,Unknown - no BLAST hit found
00000042|gene_cluster_GC_00001482|genome_name_P568_Madre_SD_BE|gene_callers_id_1443,P568_Madre_SD_BE,GC_00001482,1443,sp|P12681|PGTP_SALTY,36.073,438.0,1.12e-84,270.0,sp|P12681|PGTP_SALTY Phosphoglycerate transporter protein OS=Salmonella typhimurium (strain LT2 / SGSC1412 / ATCC 700720) OX=99287 GN=pgtP PE=2 SV=2
00000052|gene_cluster_GC_00001608|genome_name_P568_Madre_SD_BE|gene_callers_id_63,P568_Madre_SD_BE,GC_00001608,63,sp|P0AAF2|POTE_ECOL6,66.514,436.0,0.0,585.0,sp|P0AAF2|POTE_ECOL6 Putrescine transporter PotE OS=Escherichia coli O6:H1 (strain CFT073 / ATCC 700928 / UPEC) OX=199310 GN=potE PE=3 SV=1
00000053|gene_cluster_GC_00001400|genome_name_P568_Madre_SD_BE|gene_callers_id_876,P568_Madre_SD_BE,GC_00001400,876,Unknown,0.0,0.0,-,0.0,Unknown - no BLAST hit found
00000056|gene_cluster_GC_00001477|genome_name_P568_Madre_SD_BE|gene_callers_id_887,P568_Madre_SD_BE,GC_00001477,887,sp|P09389|MTBB_BPSPB,33.617,470.0,4.13e-56,194.0,sp|P09389|MTBB_BPSPB Orphan methyltransferase M.SPBetaI OS=Bacillus phage SPbeta OX=2932878 GN=mtbP PE=3 SV=2
00000059|gene_cluster_GC_00001498|genome_name_P568_Madre_SD_BE|gene_callers_id_1413,P568_Madre_SD_BE,GC_00001498,1413,Unknown,0.0,0.0,-,0.0,Unknown - no BLAST hit found
00000061|gene_cluster_GC_00001599|genome_name_P568_Madre_SD_BE|gene_callers_id_1438,P568_Madre_SD_BE,GC_00001599,1438,sp|P96594|YDAS_BACSU,51.282,78.0,2.77e-16,69.7,sp|P96594|YDAS_BACSU UPF0410 protein YdaS OS=Bacillus subtilis (strain 168) OX=224308 GN=ydaS PE=3 SV=1
00000067|gene_cluster_GC_00001581|genome_name_P568_Madre_SD_BE|gene_callers_id_1405,P568_Madre_SD_BE,GC_00001581,1405,Unknown,0.0,0.0,-,0.0,Unknown - no BLAST hit found
00000069|gene_cluster_GC_00001495|genome_name_P568_Madre_SD_BE|gene_callers_id_892,P568_Madre_SD_BE,GC_00001495,892,sp|P24125|V51K_BPL79,47.664,428.0,1.6e-128,383.0,sp|P24125|V51K_BPL79 51.5 kDa protein OS=Lactococcus phage (isolate 7-9) OX=12375 PE=4 SV=1
00000074|gene_cluster_GC_00001563|genome_name_P568_Madre_SD_BE|gene_callers_id_61,P568_Madre_SD_BE,GC_00001563,61,sp|O34546|YTTB_BACSU,33.333,354.0,7.840000000000001e-64,212.0,sp|O34546|YTTB_BACSU Uncharacterized MFS-type transporter YttB OS=Bacillus subtilis (strain 168) OX=224308 GN=yttB PE=3 SV=1
00000077|gene_cluster_GC_00001391|genome_name_P568_Madre_SD_BE|gene_callers_id_1375,P568_Madre_SD_BE,GC_00001391,1375,Unknown,0.0,0.0,-,0.0,Unknown - no BLAST hit found
00000079|gene_cluster_GC_00001547|genome_name_P568_Madre_SD_BE|gene_callers_id_1440,P568_Madre_SD_BE,GC_00001547,1440,sp|Q58439|CORA_METJA,24.342,152.0,0.000235,45.8,sp|Q58439|CORA_METJA Cobalt/magnesium transport protein CorA OS=Methanocaldococcus jannaschii (strain ATCC 43067 / DSM 2661 / JAL-1 / JCM 10045 / NBRC 100440) OX=243232 GN=corA PE=1 SV=1
00000080|gene_cluster_GC_00001453|genome_name_P568_Madre_SD_BE|gene_callers_id_62,P568_Madre_SD_BE,GC_00001453,62,sp|P43099|DCOR_LACS3,69.188,714.0,0.0,1084.0,sp|P43099|DCOR_LACS3 Inducible ornithine decarboxylase OS=Lactobacillus sp. (strain 30a) OX=1593 GN=odcI PE=1 SV=2
00000081|gene_cluster_GC_00001535|genome_name_P568_Madre_SD_BE|gene_callers_id_1432,P568_Madre_SD_BE,GC_00001535,1432,sp|Q45494|YKRA_BACSU,29.73,259.0,9.360000000000001e-29,112.0,sp|Q45494|YKRA_BACSU Putative phosphatase YkrA OS=Bacillus subtilis (strain 168) OX=224308 GN=ykrA PE=3 SV=1
00000087|gene_cluster_GC_00001451|genome_name_P568_Madre_SD_BE|gene_callers_id_1404,P568_Madre_SD_BE,GC_00001451,1404,Unknown,0.0,0.0,-,0.0,Unknown - no BLAST hit found
00000091|gene_cluster_GC_00001483|genome_name_P568_Madre_SD_BE|gene_callers_id_893,P568_Madre_SD_BE,GC_00001483,893,Unknown,0.0,0.0,-,0.0,Unknown - no BLAST hit found
00000092|gene_cluster_GC_00001404|genome_name_P568_Madre_SD_BE|gene_callers_id_866,P568_Madre_SD_BE,GC_00001404,866,sp|O48459|DIT_BPSPP,26.064,188.0,6.35e-08,55.5,sp|O48459|DIT_BPSPP Distal tail protein OS=Bacillus phage SPP1 OX=10724 PE=1 SV=1
00000094|gene_cluster_GC_00001577|genome_name_P568_Madre_SD_BE|gene_callers_id_1409,P568_Madre_SD_BE,GC_00001577,1409,Unknown,0.0,0.0,-,0.0,Unknown - no BLAST hit found
00000098|gene_cluster_GC_00001465|genome_name_P568_Madre_SD_BE|gene_callers_id_1408,P568_Madre_SD_BE,GC_00001465,1408,Unknown,0.0,0.0,-,0.0,Unknown - no BLAST hit found
00000099|gene_cluster_GC_00001515|genome_name_P568_Madre_SD_BE|gene_callers_id_865,P568_Madre_SD_BE,GC_00001515,865,sp|Q0PDK6|FIBER_BPSPP,30.216,278.0,4.1200000000000005e-21,103.0,sp|Q0PDK6|FIBER_BPSPP Tail spike protein OS=Bacillus phage SPP1 OX=10724 GN=21 PE=1 SV=1
00000104|gene_cluster_GC_00001572|genome_name_P568_Madre_SD_BE|gene_callers_id_1430,P568_Madre_SD_BE,GC_00001572,1430,sp|Q9CID5|TREPP_LACLA,40.769,780.0,0.0,581.0,sp|Q9CID5|TREPP_LACLA Trehalose 6-phosphate phosphorylase OS=Lactococcus lactis subsp. lactis (strain IL1403) OX=272623 GN=trePP PE=1 SV=3
00000108|gene_cluster_GC_00001611|genome_name_P568_Madre_SD_BE|gene_callers_id_147,P568_Madre_SD_BE,GC_00001611,147,sp|Q06994|WAAB_SALTY,41.333,225.0,7.88e-52,176.0,"sp|Q06994|WAAB_SALTY Lipopolysaccharide 1,6-galactosyltransferase OS=Salmonella typhimurium (strain LT2 / SGSC1412 / ATCC 700720) OX=99287 GN=waaB PE=1 SV=2"
00000109|gene_cluster_GC_00001510|genome_name_P568_Madre_SD_BE|gene_callers_id_873,P568_Madre_SD_BE,GC_00001510,873,Unknown,0.0,0.0,-,0.0,Unknown - no BLAST hit found
00000110|gene_cluster_GC_00001514|genome_name_P568_Madre_SD_BE|gene_callers_id_1442,P568_Madre_SD_BE,GC_00001514,1442,Unknown,0.0,0.0,-,0.0,Unknown - no BLAST hit found
00000112|gene_cluster_GC_00001463|genome_name_P568_Madre_SD_BE|gene_callers_id_872,P568_Madre_SD_BE,GC_00001463,872,Unknown,0.0,0.0,-,0.0,Unknown - no BLAST hit found
00000113|gene_cluster_GC_00001600|genome_name_P568_Madre_SD_BE|gene_callers_id_884,P568_Madre_SD_BE,GC_00001600,884,sp|Q56108|NRDH_SALTY,40.541,74.0,4.82e-17,71.2,sp|Q56108|NRDH_SALTY Glutaredoxin-like protein NrdH OS=Salmonella typhimurium (strain LT2 / SGSC1412 / ATCC 700720) OX=99287 GN=nrdH PE=3 SV=1
00000117|gene_cluster_GC_00001540|genome_name_P568_Madre_SD_BE|gene_callers_id_861,P568_Madre_SD_BE,GC_00001540,861,sp|P26835|YNGD_CLOPF,28.571,91.0,0.005,38.5,sp|P26835|YNGD_CLOPF Uncharacterized 14.9 kDa protein in nagH 3'region OS=Clostridium perfringens OX=1502 PE=3 SV=1
00000122|gene_cluster_GC_00001548|genome_name_P568_Madre_SD_BE|gene_callers_id_1435,P568_Madre_SD_BE,GC_00001548,1435,Unknown,0.0,0.0,-,0.0,Unknown - no BLAST hit found
00000130|gene_cluster_GC_00001568|genome_name_P568_Madre_SD_BE|gene_callers_id_888,P568_Madre_SD_BE,GC_00001568,888,Unknown,0.0,0.0,-,0.0,Unknown - no BLAST hit found
00000132|gene_cluster_GC_00001437|genome_name_P568_Madre_SD_BE|gene_callers_id_253,P568_Madre_SD_BE,GC_00001437,253,Unknown,0.0,0.0,-,0.0,Unknown - no BLAST hit found
00000133|gene_cluster_GC_00001485|genome_name_P568_Madre_SD_BE|gene_callers_id_889,P568_Madre_SD_BE,GC_00001485,889,Unknown,0.0,0.0,-,0.0,Unknown - no BLAST hit found
00000142|gene_cluster_GC_00001583|genome_name_P568_Madre_SD_BE|gene_callers_id_151,P568_Madre_SD_BE,GC_00001583,151,sp|P25148|GSPA_BACSU,23.372,261.0,5.64e-19,88.6,sp|P25148|GSPA_BACSU General stress protein A OS=Bacillus subtilis (strain 168) OX=224308 GN=gspA PE=1 SV=2
00000144|gene_cluster_GC_00001440|genome_name_P568_Madre_SD_BE|gene_callers_id_1418,P568_Madre_SD_BE,GC_00001440,1418,Unknown,0.0,0.0,-,0.0,Unknown - no BLAST hit found
00000145|gene_cluster_GC_00001464|genome_name_P568_Madre_SD_BE|gene_callers_id_1420,P568_Madre_SD_BE,GC_00001464,1420,sp|P36496|PEDB_PEDAC,100.0,57.0,4.3000000000000005e-37,122.0,sp|P36496|PEDB_PEDAC Pediocin PA-1 immunity protein OS=Pediococcus acidilactici OX=1254 GN=pedB PE=4 SV=1
00000146|gene_cluster_GC_00001421|genome_name_P568_Madre_SD_BE|gene_callers_id_1403,P568_Madre_SD_BE,GC_00001421,1403,sp|Q88WD3|Y1708_LACPL,63.793,58.0,8.09e-18,72.8,sp|Q88WD3|Y1708_LACPL UPF0337 protein lp_1708 OS=Lactiplantibacillus plantarum (strain ATCC BAA-793 / NCIMB 8826 / WCFS1) OX=220668 GN=lp_1708 PE=3 SV=1
00000147|gene_cluster_GC_00001493|genome_name_P568_Madre_SD_BE|gene_callers_id_860,P568_Madre_SD_BE,GC_00001493,860,sp|B3VBK9|LYSM_PASFU,45.902,61.0,0.008,40.8,sp|B3VBK9|LYSM_PASFU Secreted LysM effector ECP6 OS=Passalora fulva OX=5499 GN=ECP6 PE=1 SV=1
00000156|gene_cluster_GC_00001520|genome_name_P568_Madre_SD_BE|gene_callers_id_149,P568_Madre_SD_BE,GC_00001520,149,sp|D4GYH3|AGLG_HALVD,30.0,120.0,8.18e-06,47.4,sp|D4GYH3|AGLG_HALVD Glucosyl-dolichyl phosphate glucuronosyltransferase OS=Haloferax volcanii (strain ATCC 29605 / DSM 3757 / JCM 8879 / NBRC 14742 / NCIMB 2012 / VKM B-1768 / DS2) OX=309800 GN=aglG PE=1 SV=1
00000158|gene_cluster_GC_00001484|genome_name_P568_Madre_SD_BE|gene_callers_id_878,P568_Madre_SD_BE,GC_00001484,878,Unknown,0.0,0.0,-,0.0,Unknown - no BLAST hit found
00000167|gene_cluster_GC_00001459|genome_name_P568_Madre_SD_BE|gene_callers_id_871,P568_Madre_SD_BE,GC_00001459,871,Unknown,0.0,0.0,-,0.0,Unknown - no BLAST hit found
00000169|gene_cluster_GC_00001553|genome_name_P568_Madre_SD_BE|gene_callers_id_870,P568_Madre_SD_BE,GC_00001553,870,Unknown,0.0,0.0,-,0.0,Unknown - no BLAST hit found
00000171|gene_cluster_GC_00001438|genome_name_P568_Madre_SD_BE|gene_callers_id_252,P568_Madre_SD_BE,GC_00001438,252,Unknown,0.0,0.0,-,0.0,Unknown - no BLAST hit found
00000172|gene_cluster_GC_00001452|genome_name_P568_Madre_SD_BE|gene_callers_id_864,P568_Madre_SD_BE,GC_00001452,864,sp|P15317|YHYA_BPH44,30.435,115.0,7.28e-06,52.8,sp|P15317|YHYA_BPH44 Uncharacterized 65 kDa protein in hyaluronidase region OS=Streptococcus pyogenes phage H4489A OX=12366 PE=4 SV=1
00000173|gene_cluster_GC_00001468|genome_name_P568_Madre_SD_BE|gene_callers_id_881,P568_Madre_SD_BE,GC_00001468,881,sp|P68928|TERS_BPSF6,45.205,146.0,9.189999999999999e-30,108.0,sp|P68928|TERS_BPSF6 Terminase small subunit OS=Bacillus phage SF6 OX=10773 GN=1 PE=1 SV=2
00000176|gene_cluster_GC_00001597|genome_name_P568_Madre_SD_BE|gene_callers_id_1441,P568_Madre_SD_BE,GC_00001597,1441,Unknown,0.0,0.0,-,0.0,Unknown - no BLAST hit found
00000177|gene_cluster_GC_00001537|genome_name_P568_Madre_SD_BE|gene_callers_id_1376,P568_Madre_SD_BE,GC_00001537,1376,Unknown,0.0,0.0,-,0.0,Unknown - no BLAST hit found
00000178|gene_cluster_GC_00001410|genome_name_P568_Madre_SD_BE|gene_callers_id_152,P568_Madre_SD_BE,GC_00001410,152,sp|P71055|EPSF_BACSU,26.214,309.0,1.7e-31,125.0,sp|P71055|EPSF_BACSU Putative glycosyltransferase EpsF OS=Bacillus subtilis (strain 168) OX=224308 GN=epsF PE=2 SV=1
00000180|gene_cluster_GC_00001456|genome_name_P568_Madre_SD_BE|gene_callers_id_1425,P568_Madre_SD_BE,GC_00001456,1425,sp|Q9RMZ4|REPS_BACAN,35.119,504.0,2.23e-87,281.0,sp|Q9RMZ4|REPS_BACAN Replication initiation protein OS=Bacillus anthracis OX=1392 GN=repS PE=4 SV=1
00000181|gene_cluster_GC_00001505|genome_name_P568_Madre_SD_BE|gene_callers_id_1417,P568_Madre_SD_BE,GC_00001505,1417,sp|Q44363|TRAA_AGRTU,34.711,121.0,2.25e-15,73.6,sp|Q44363|TRAA_AGRTU Conjugal transfer protein TraA OS=Agrobacterium tumefaciens OX=358 GN=traA PE=3 SV=1
00000194|gene_cluster_GC_00001474|genome_name_P568_Madre_SD_BE|gene_callers_id_897,P568_Madre_SD_BE,GC_00001474,897,Unknown,0.0,0.0,-,0.0,Unknown - no BLAST hit found
00000196|gene_cluster_GC_00001406|genome_name_P568_Madre_SD_BE|gene_callers_id_879,P568_Madre_SD_BE,GC_00001406,879,sp|Q24LJ4|PORTL_BPPCD,23.973,438.0,2.47e-07,56.6,sp|Q24LJ4|PORTL_BPPCD Portal protein OS=Clostridium phage phiCD119 (strain Clostridium difficile/United States/Govind/2006) OX=2883936 PE=3 SV=1
00000198|gene_cluster_GC_00001566|genome_name_P568_Madre_SD_BE|gene_callers_id_885,P568_Madre_SD_BE,GC_00001566,885,Unknown,0.0,0.0,-,0.0,Unknown - no BLAST hit found
00000206|gene_cluster_GC_00001434|genome_name_P568_Madre_SD_BE|gene_callers_id_1439,P568_Madre_SD_BE,GC_00001434,1439,Unknown,0.0,0.0,-,0.0,Unknown - no BLAST hit found
00000207|gene_cluster_GC_00001508|genome_name_P568_Madre_SD_BE|gene_callers_id_877,P568_Madre_SD_BE,GC_00001508,877,Unknown,0.0,0.0,-,0.0,Unknown - no BLAST hit found
00000209|gene_cluster_GC_00001609|genome_name_P568_Madre_SD_BE|gene_callers_id_1416,P568_Madre_SD_BE,GC_00001609,1416,sp|Q8GN32|MOBA_BIFLO,33.01,103.0,1.26e-06,48.5,sp|Q8GN32|MOBA_BIFLO Probable mobilization protein MobA OS=Bifidobacterium longum (strain NCC 2705) OX=206672 GN=mobA PE=3 SV=1
00000210|gene_cluster_GC_00001530|genome_name_P568_Madre_SD_BE|gene_callers_id_863,P568_Madre_SD_BE,GC_00001530,863,Unknown,0.0,0.0,-,0.0,Unknown - no BLAST hit found
00000212|gene_cluster_GC_00001560|genome_name_P568_Madre_SD_BE|gene_callers_id_868,P568_Madre_SD_BE,GC_00001560,868,Unknown,0.0,0.0,-,0.0,Unknown - no BLAST hit found
00000216|gene_cluster_GC_00001513|genome_name_P568_Madre_SD_BE|gene_callers_id_165,P568_Madre_SD_BE,GC_00001513,165,Unknown,0.0,0.0,-,0.0,Unknown - no BLAST hit found
00000218|gene_cluster_GC_00001612|genome_name_P568_Madre_SD_BE|gene_callers_id_1410,P568_Madre_SD_BE,GC_00001612,1410,sp|Q6FDK3|NRTR_ACIAD,24.352,193.0,1.16e-07,54.3,sp|Q6FDK3|NRTR_ACIAD ADPR responsive transcriptional repressor NtrR OS=Acinetobacter baylyi (strain ATCC 33305 / BD413 / ADP1) OX=62977 GN=ACIAD0962 PE=1 SV=1
00000221|gene_cluster_GC_00001501|genome_name_P568_Madre_SD_BE|gene_callers_id_148,P568_Madre_SD_BE,GC_00001501,148,Unknown,0.0,0.0,-,0.0,Unknown - no BLAST hit found
00000223|gene_cluster_GC_00001393|genome_name_P568_Madre_SD_BE|gene_callers_id_1437,P568_Madre_SD_BE,GC_00001393,1437,sp|Q5XBW6|GLS24_STRP6,56.098,164.0,6.86e-56,177.0,sp|Q5XBW6|GLS24_STRP6 Stress response regulator gls24 homolog OS=Streptococcus pyogenes serotype M6 (strain ATCC BAA-946 / MGAS10394) OX=286636 GN=M6_Spy0962 PE=1 SV=1
00000230|gene_cluster_GC_00001546|genome_name_P568_Madre_SD_BE|gene_callers_id_862,P568_Madre_SD_BE,GC_00001546,862,Unknown,0.0,0.0,-,0.0,Unknown - no BLAST hit found
00000232|gene_cluster_GC_00001544|genome_name_P568_Madre_SD_BE|gene_callers_id_869,P568_Madre_SD_BE,GC_00001544,869,Unknown,0.0,0.0,-,0.0,Unknown - no BLAST hit found
00000234|gene_cluster_GC_00001444|genome_name_P568_Madre_SD_BE|gene_callers_id_867,P568_Madre_SD_BE,GC_00001444,867,sp|E7DNB6|TMP_BPDP1,22.26,1186.0,1.33e-49,196.0,sp|E7DNB6|TMP_BPDP1 Tape measure protein OS=Pneumococcus phage Dp-1 OX=59241 GN=TMP PE=4 SV=1
