locus_tag	ftype	length_bp	gene	EC_number	COG	product
HLLCJJMH_00095	CDS	1338	efpA		COG0477	putative MFS-type transporter EfpA
HLLCJJMH_00096	CDS	603				hypothetical protein
HLLCJJMH_00097	CDS	1494	vmlR_1		COG0488	Ribosome protection protein VmlR
HLLCJJMH_00098	CDS	603				hypothetical protein
HLLCJJMH_00099	CDS	1476	emrB_1		COG2814	Multidrug export protein EmrB
HLLCJJMH_00100	CDS	618	argO		COG1279	Arginine exporter protein ArgO
HLLCJJMH_00101	CDS	432	mgrA		COG1846	HTH-type transcriptional regulator MgrA
HLLCJJMH_00102	CDS	954	aes	3.1.1.-		Acetyl esterase
HLLCJJMH_00103	CDS	945	tri1	3.2.2.19	COG1397	ADP-ribosylarginine hydrolase Tri1
HLLCJJMH_00104	CDS	597	lacA_1	2.3.1.18	COG0110	Galactoside O-acetyltransferase
HLLCJJMH_00105	CDS	315				hypothetical protein
HLLCJJMH_00106	CDS	573				hypothetical protein
HLLCJJMH_00107	CDS	432	yjaB	2.3.1.-	COG0456	Peptidyl-lysine N-acetyltransferase YjaB
HLLCJJMH_00108	CDS	513				hypothetical protein
HLLCJJMH_00109	CDS	1641	dppA_4		COG4166	Dipeptide-binding protein
HLLCJJMH_00110	CDS	636				hypothetical protein
HLLCJJMH_00111	CDS	1275				hypothetical protein
HLLCJJMH_00112	CDS	849			COG0330	putative protein
HLLCJJMH_00113	CDS	330				hypothetical protein
HLLCJJMH_00114	CDS	738				hypothetical protein
HLLCJJMH_00115	CDS	567				hypothetical protein
HLLCJJMH_00116	CDS	504				hypothetical protein
HLLCJJMH_00117	CDS	366	menI	3.1.2.28		1,4-dihydroxy-2-naphthoyl-CoA hydrolase
HLLCJJMH_00118	CDS	822	menB	4.1.3.36		1,4-dihydroxy-2-naphthoyl-CoA synthase
HLLCJJMH_00119	CDS	1434	menE	6.2.1.26	COG0318	2-succinylbenzoate--CoA ligase
HLLCJJMH_00120	CDS	543				hypothetical protein
HLLCJJMH_00121	CDS	945				hypothetical protein
HLLCJJMH_00122	CDS	1515	murE	6.3.2.7		UDP-N-acetylmuramoyl-L-alanyl-D-glutamate--L-lysine ligase
HLLCJJMH_00123	CDS	1509	lysS	6.1.1.6	COG1190	Lysine--tRNA ligase
HLLCJJMH_00124	CDS	1182				hypothetical protein
HLLCJJMH_00125	tRNA	76				tRNA-Glu(ttc)
HLLCJJMH_00126	tRNA	72				tRNA-Gln(ttg)
HLLCJJMH_00127	CDS	753	hcaB	1.3.1.87		3-phenylpropionate-dihydrodiol/cinnamic acid-dihydrodiol dehydrogenase
HLLCJJMH_00128	CDS	558				hypothetical protein
HLLCJJMH_00129	CDS	636				hypothetical protein
HLLCJJMH_00130	CDS	591				hypothetical protein
HLLCJJMH_00131	CDS	1506	gadC_1		COG0531	Glutamate/gamma-aminobutyrate antiporter
HLLCJJMH_00132	CDS	1410	gadB_1	4.1.1.15	COG0076	Glutamate decarboxylase
HLLCJJMH_00133	CDS	879	gltX_1	6.1.1.17	COG0008	Glutamate--tRNA ligase
HLLCJJMH_00134	CDS	561	gltX_2	6.1.1.17	COG0008	Glutamate--tRNA ligase
HLLCJJMH_00135	CDS	915				hypothetical protein
HLLCJJMH_00136	rRNA	1566				16S ribosomal RNA
HLLCJJMH_00137	rRNA	2919				23S ribosomal RNA
HLLCJJMH_00138	rRNA	117				5S ribosomal RNA
HLLCJJMH_00139	CDS	1287	gltT			Proton/sodium-glutamate symport protein
HLLCJJMH_00140	CDS	564	ahpC	1.11.1.26	COG0450	Alkyl hydroperoxide reductase C
HLLCJJMH_00141	CDS	348				hypothetical protein
HLLCJJMH_00142	CDS	642	yhfK_1	4.-.-.-	COG0702	putative sugar epimerase YhfK
HLLCJJMH_00143	CDS	264				hypothetical protein
HLLCJJMH_00144	CDS	642				hypothetical protein
HLLCJJMH_00145	CDS	207				hypothetical protein
HLLCJJMH_00146	CDS	189				hypothetical protein
HLLCJJMH_00147	CDS	1443	gnd	1.1.1.44	COG0362	6-phosphogluconate dehydrogenase, decarboxylating
HLLCJJMH_00148	CDS	429				hypothetical protein
HLLCJJMH_00149	CDS	270	elaA_1		COG2153	Protein ElaA
HLLCJJMH_00150	CDS	1485				hypothetical protein
HLLCJJMH_00151	CDS	1488	zwf	1.1.1.363		Glucose-6-phosphate 1-dehydrogenase
HLLCJJMH_00152	CDS	822	yokD	2.3.1.-	COG2746	SPbeta prophage-derived aminoglycoside N(3')-acetyltransferase-like protein YokD
	repeat_region	208				
HLLCJJMH_00153	CDS	576				hypothetical protein
HLLCJJMH_00154	CDS	606	calB_1	1.2.1.68		Coniferyl aldehyde dehydrogenase
HLLCJJMH_00155	CDS	795	calB_2	1.2.1.68		Coniferyl aldehyde dehydrogenase
HLLCJJMH_00156	CDS	843	pdxI	1.1.1.65	COG0667	Pyridoxine 4-dehydrogenase
HLLCJJMH_00157	CDS	816				hypothetical protein
HLLCJJMH_00158	CDS	1167				hypothetical protein
HLLCJJMH_00159	CDS	1347	pgtP			Phosphoglycerate transporter protein
HLLCJJMH_00160	CDS	615				hypothetical protein
HLLCJJMH_00161	CDS	672				hypothetical protein
HLLCJJMH_00162	CDS	744	mdtD_1			Putative multidrug resistance protein MdtD
HLLCJJMH_00163	CDS	660				hypothetical protein
HLLCJJMH_00164	CDS	747	nfrA1	1.5.1.38	COG0778	FMN reductase (NADPH)
HLLCJJMH_00165	CDS	474			COG1780	Putative NrdI-like protein
HLLCJJMH_00166	CDS	1521	vmlR_2		COG0488	Ribosome protection protein VmlR
HLLCJJMH_00167	CDS	1434	farB			Fatty acid resistance protein FarB
HLLCJJMH_00168	CDS	180				hypothetical protein
HLLCJJMH_00169	CDS	774	kduD_1	1.1.1.127	COG1028	2-dehydro-3-deoxy-D-gluconate 5-dehydrogenase
HLLCJJMH_00170	CDS	969	kdgR_1		COG1609	HTH-type transcriptional regulator KdgR
HLLCJJMH_00171	CDS	552				hypothetical protein
HLLCJJMH_00172	CDS	810				hypothetical protein
HLLCJJMH_00173	CDS	1356				hypothetical protein
HLLCJJMH_00174	CDS	357				hypothetical protein
HLLCJJMH_00175	CDS	426				Acid shock protein
HLLCJJMH_00176	CDS	1479	yjeM_1		COG0531	Inner membrane transporter YjeM
HLLCJJMH_00177	CDS	849	yvgN_1	1.1.1.-	COG0656	Glyoxal reductase
HLLCJJMH_00178	CDS	159				hypothetical protein
HLLCJJMH_00179	CDS	2337	ctpE	7.2.2.10	COG0474	Calcium-transporting ATPase CtpE
HLLCJJMH_00180	CDS	525				hypothetical protein
HLLCJJMH_00181	CDS	1794				hypothetical protein
HLLCJJMH_00182	CDS	2619	adhE		COG1012	Aldehyde-alcohol dehydrogenase
HLLCJJMH_00183	CDS	576				hypothetical protein
HLLCJJMH_00184	CDS	2982				hypothetical protein
HLLCJJMH_00185	CDS	651				hypothetical protein
HLLCJJMH_00186	CDS	108				hypothetical protein
HLLCJJMH_00187	CDS	351				hypothetical protein
HLLCJJMH_00188	CDS	252				hypothetical protein
HLLCJJMH_00189	CDS	552				hypothetical protein
HLLCJJMH_00190	CDS	846	kduI1_1	5.3.1.17	COG3717	4-deoxy-L-threo-5-hexosulose-uronate ketol-isomerase 1
HLLCJJMH_00191	CDS	981	kdgK_1	2.7.1.45	COG0524	2-dehydro-3-deoxygluconokinase
HLLCJJMH_00192	CDS	1188	ackA_1	2.7.2.1	COG0282	Acetate kinase
HLLCJJMH_00193	CDS	498				hypothetical protein
HLLCJJMH_00194	CDS	1623			COG3559	Multidrug efflux system permease protein
HLLCJJMH_00195	CDS	894		7.6.2.-	COG1131	Multidrug efflux system ATP-binding protein
HLLCJJMH_00196	CDS	657	yedJ		COG1418	putative protein YedJ
HLLCJJMH_00197	CDS	1338				hypothetical protein
HLLCJJMH_00198	CDS	1428	uxaC_1	5.3.1.12	COG1904	Uronate isomerase
HLLCJJMH_00199	CDS	1419	uidB		COG2211	Glucuronide carrier protein 
HLLCJJMH_00200	CDS	2496		2.4.1.161	COG1501	Oligosaccharide 4-alpha-D-glucosyltransferase
HLLCJJMH_00201	CDS	1812	bglR	3.2.1.31		Beta-glucuronidase
HLLCJJMH_00202	CDS	1638	uxuB	1.1.1.57	COG0246	D-mannonate oxidoreductase
HLLCJJMH_00203	CDS	879	lacX_1			Protein LacX, plasmid
HLLCJJMH_00204	CDS	663	gpmA_1	5.4.2.11	COG0588	2,3-bisphosphoglycerate-dependent phosphoglycerate mutase
HLLCJJMH_00205	CDS	993		1.1.1.81	COG1052	Hydroxypyruvate reductase
HLLCJJMH_00206	CDS	1542	xylB_1	2.7.1.17		Xylulose kinase
HLLCJJMH_00207	CDS	903		1.1.1.343	COG1023	6-phosphogluconate dehydrogenase, NAD(+)-dependent, decarboxylating
HLLCJJMH_00208	CDS	696	rspR		COG1802	HTH-type transcriptional repressor RspR
HLLCJJMH_00209	CDS	1071	uxuA	4.2.1.8	COG1312	Mannonate dehydratase
HLLCJJMH_00210	CDS	1008	exuR		COG1609	putative HTH-type transcriptional repressor ExuR
HLLCJJMH_00211	CDS	1479	yjmB		COG2211	putative symporter YjmB
HLLCJJMH_00212	CDS	1581	uxaE	5.1.2.7		Tagaturonate/fructuronate epimerase
HLLCJJMH_00213	CDS	1461	uxaC_2	5.3.1.12	COG1904	Uronate isomerase
HLLCJJMH_00214	CDS	1242				hypothetical protein
HLLCJJMH_00215	CDS	183				hypothetical protein
HLLCJJMH_00216	CDS	1395	hsrA		COG0477	putative transport protein HsrA
HLLCJJMH_00217	CDS	528				hypothetical protein
HLLCJJMH_00218	CDS	189				hypothetical protein
HLLCJJMH_00219	CDS	2022				hypothetical protein
HLLCJJMH_00220	CDS	804				hypothetical protein
HLLCJJMH_00221	CDS	504	ybaK	4.2.-.-	COG2606	Cys-tRNA(Pro)/Cys-tRNA(Cys) deacylase YbaK
HLLCJJMH_00222	CDS	726	nagR_1		COG2188	HTH-type transcriptional repressor NagR
HLLCJJMH_00223	CDS	672				hypothetical protein
HLLCJJMH_00224	CDS	483	greA_1		COG0782	Transcription elongation factor GreA
HLLCJJMH_00225	CDS	423				hypothetical protein
HLLCJJMH_00226	CDS	756	agrA			Accessory gene regulator A
HLLCJJMH_00227	CDS	1326				hypothetical protein
HLLCJJMH_00228	CDS	1347				hypothetical protein
HLLCJJMH_00229	CDS	741	adh_1	1.1.1.-		NADP-dependent (R)-specific alcohol dehydrogenase
HLLCJJMH_00230	CDS	90				hypothetical protein
HLLCJJMH_00231	CDS	888	rluD_1	5.4.99.23	COG0564	Ribosomal large subunit pseudouridine synthase D
HLLCJJMH_00232	CDS	456				Putative universal stress protein
HLLCJJMH_00233	CDS	651				hypothetical protein
HLLCJJMH_00234	CDS	1716	stp_1		COG0477	Multidrug resistance protein Stp
HLLCJJMH_00235	CDS	534				hypothetical protein
HLLCJJMH_00236	CDS	1824	oppA			Oligopeptide-binding protein OppA
HLLCJJMH_00237	CDS	951	oppC		COG1173	Oligopeptide transport system permease protein OppC
HLLCJJMH_00238	CDS	960	oppB		COG0601	Oligopeptide transport system permease protein OppB
HLLCJJMH_00239	CDS	975	oppF_1	7.4.2.6	COG4608	Oligopeptide transport ATP-binding protein OppF
HLLCJJMH_00240	CDS	1014	oppD	7.4.2.6	COG0444	Oligopeptide transport ATP-binding protein OppD
HLLCJJMH_00241	CDS	465				hypothetical protein
HLLCJJMH_00242	CDS	1014	lplJ_1	6.3.1.20	COG0095	Lipoate-protein ligase LplJ
HLLCJJMH_00243	CDS	420				hypothetical protein
HLLCJJMH_00244	CDS	480				hypothetical protein
HLLCJJMH_00245	CDS	810				hypothetical protein
HLLCJJMH_00246	CDS	96				hypothetical protein
HLLCJJMH_00247	CDS	1350	xylA	5.3.1.5		Xylose isomerase
HLLCJJMH_00248	CDS	1509	xylB_2	2.7.1.17		Xylulose kinase
HLLCJJMH_00249	CDS	1374	xylT_1			D-xylose transporter
HLLCJJMH_00250	CDS	780	butA	1.1.1.304		Diacetyl reductase [(S)-acetoin forming]
HLLCJJMH_00251	CDS	375	fra		COG5646	Intracellular iron chaperone frataxin
HLLCJJMH_00252	CDS	2562				hypothetical protein
HLLCJJMH_00253	CDS	522				Putative universal stress protein
HLLCJJMH_00254	CDS	510				hypothetical protein
HLLCJJMH_00255	CDS	1173	dapE_1	3.5.1.18		putative succinyl-diaminopimelate desuccinylase
HLLCJJMH_00256	CDS	756				hypothetical protein
HLLCJJMH_00257	CDS	624				hypothetical protein
HLLCJJMH_00258	CDS	864		1.1.1.-	COG0656	Aldo-keto reductase/MSMEI_2347
HLLCJJMH_00259	CDS	390				hypothetical protein
HLLCJJMH_00260	CDS	534				hypothetical protein
HLLCJJMH_00261	CDS	1443	nhaC_1		COG1757	Na(+)/H(+) antiporter NhaC
HLLCJJMH_00262	CDS	1074				hypothetical protein
HLLCJJMH_00263	CDS	1002	hgdH	1.1.1.399	COG1052	(R)-2-hydroxyglutarate dehydrogenase
HLLCJJMH_00264	CDS	1593	dcuS	2.7.13.3	COG3290	Sensor histidine kinase DcuS
HLLCJJMH_00265	CDS	717	dcuR		COG4565	Transcriptional regulatory protein DcuR
HLLCJJMH_00266	CDS	966				hypothetical protein
HLLCJJMH_00267	CDS	324				hypothetical protein
HLLCJJMH_00268	CDS	579				hypothetical protein
HLLCJJMH_00269	CDS	657				hypothetical protein
HLLCJJMH_00270	CDS	525				hypothetical protein
HLLCJJMH_00271	CDS	168				hypothetical protein
HLLCJJMH_00272	CDS	465				hypothetical protein
HLLCJJMH_00273	CDS	195				hypothetical protein
HLLCJJMH_00274	CDS	537	padC	4.1.1.102	COG3479	Phenolic acid decarboxylase PadC
HLLCJJMH_00275	CDS	501	padR		COG1695	Negative transcriptional regulator PadR
HLLCJJMH_00276	CDS	567				hypothetical protein
HLLCJJMH_00277	CDS	1035				hypothetical protein
HLLCJJMH_00278	CDS	444	elaA_2		COG2153	Protein ElaA
HLLCJJMH_00279	CDS	453				hypothetical protein
HLLCJJMH_00280	CDS	420				hypothetical protein
HLLCJJMH_00281	CDS	552				hypothetical protein
HLLCJJMH_00282	CDS	567				hypothetical protein
HLLCJJMH_00283	CDS	651				hypothetical protein
HLLCJJMH_00284	CDS	438				Putative universal stress protein
HLLCJJMH_00285	CDS	1575	mntH_1			Divalent metal cation transporter MntH
HLLCJJMH_00286	CDS	2136				hypothetical protein
HLLCJJMH_00287	CDS	987	guaC	1.7.1.7		GMP reductase
HLLCJJMH_00288	CDS	1287	purA	6.3.4.4	COG0104	Adenylosuccinate synthetase
HLLCJJMH_00289	CDS	1299	purB	4.3.2.2	COG0015	Adenylosuccinate lyase
HLLCJJMH_00290	CDS	576				hypothetical protein
HLLCJJMH_00291	CDS	1413	gabD1_1	1.2.1.79	COG1012	Succinate-semialdehyde dehydrogenase [NADP(+)] 1
HLLCJJMH_00292	CDS	915				hypothetical protein
HLLCJJMH_00293	CDS	579	fadR		COG1309	Fatty acid metabolism regulator protein
HLLCJJMH_00294	CDS	933	menH_1	4.2.99.20		2-succinyl-6-hydroxy-2,4-cyclohexadiene-1-carboxylate synthase
HLLCJJMH_00295	CDS	822	ptpB_1	3.1.3.-	COG2365	Triple specificity protein phosphatase PtpB
HLLCJJMH_00296	CDS	885	mlhB	3.1.1.83		Monoterpene epsilon-lactone hydrolase
HLLCJJMH_00297	CDS	1842	scpA_1	3.4.21.-		Kumamolisin-As
HLLCJJMH_00298	CDS	651				hypothetical protein
HLLCJJMH_00299	CDS	735		2.4.2.-	COG2071	Putative glutamine amidotransferase
HLLCJJMH_00300	CDS	252				hypothetical protein
HLLCJJMH_00301	CDS	648	nth_1	4.2.99.18		Endonuclease III
HLLCJJMH_00302	CDS	1515	glpK_1	2.7.1.30	COG0554	Glycerol kinase
HLLCJJMH_00303	CDS	1035				hypothetical protein
HLLCJJMH_00304	CDS	873				hypothetical protein
HLLCJJMH_00305	CDS	2223	bglB_1	3.2.1.21	COG1472	Thermostable beta-glucosidase B
HLLCJJMH_00306	CDS	870	rhaR_1			HTH-type transcriptional activator RhaR
HLLCJJMH_00307	CDS	1992	bgaA	3.2.1.23	COG1874	Beta-galactosidase BgaA
HLLCJJMH_00308	CDS	1269				hypothetical protein
HLLCJJMH_00309	CDS	1335				hypothetical protein
HLLCJJMH_00310	CDS	552	trtA	3.5.1.-		Triuret hydrolase TrtA
HLLCJJMH_00311	CDS	318				hypothetical protein
HLLCJJMH_00312	CDS	639				hypothetical protein
HLLCJJMH_00313	CDS	942				hypothetical protein
HLLCJJMH_00314	CDS	996	dus	1.3.1.-		putative tRNA-dihydrouridine synthase
HLLCJJMH_00315	CDS	1200	fabV	1.3.1.9		Enoyl-[acyl-carrier-protein] reductase [NADH]
HLLCJJMH_00316	CDS	444				Flavodoxin
HLLCJJMH_00317	CDS	525				hypothetical protein
HLLCJJMH_00318	CDS	1341	thrP		COG1113	Threonine/serine transporter ThrP
HLLCJJMH_00319	CDS	663				hypothetical protein
HLLCJJMH_00320	CDS	264				hypothetical protein
HLLCJJMH_00321	CDS	249				hypothetical protein
HLLCJJMH_00322	CDS	2067				hypothetical protein
HLLCJJMH_00323	CDS	1236	dapE_2	3.5.1.18		putative succinyl-diaminopimelate desuccinylase
HLLCJJMH_00324	CDS	1011	adhA_1	1.1.1.1	COG1064	Alcohol dehydrogenase 1
HLLCJJMH_00325	CDS	417				hypothetical protein
HLLCJJMH_00326	CDS	930	btuD_1	7.6.2.8		Vitamin B12 import ATP-binding protein BtuD
HLLCJJMH_00327	CDS	1521	egtUBC		COG1174	putative ergothioneine transporter EgtUBC
HLLCJJMH_00328	CDS	267				hypothetical protein
HLLCJJMH_00329	CDS	1125				hypothetical protein
HLLCJJMH_00330	CDS	555				hypothetical protein
HLLCJJMH_00331	CDS	495				hypothetical protein
HLLCJJMH_00332	CDS	2748	ctpF	7.2.2.-		putative cation-transporting ATPase F
HLLCJJMH_00333	CDS	1422	pepDA_1	3.4.13.19	COG4690	Dipeptidase A
HLLCJJMH_00334	CDS	996				hypothetical protein
HLLCJJMH_00335	CDS	576	maa_1	2.3.1.79	COG0110	Maltose O-acetyltransferase
HLLCJJMH_00336	CDS	648				hypothetical protein
HLLCJJMH_00337	CDS	945	yicL_1		COG0697	putative inner membrane transporter YicL
HLLCJJMH_00338	CDS	2073	copB	7.2.2.8	COG2217	Copper-exporting P-type ATPase B
HLLCJJMH_00339	CDS	447	copY		COG3682	Transcriptional repressor CopY
HLLCJJMH_00340	CDS	1272				hypothetical protein
HLLCJJMH_00341	CDS	846	ytbE_1	1.-.-.-	COG0656	putative oxidoreductase YtbE
HLLCJJMH_00342	CDS	1926	pacS	7.2.2.8	COG2217	putative copper-transporting ATPase PacS
HLLCJJMH_00343	CDS	372				hypothetical protein
HLLCJJMH_00344	CDS	93				hypothetical protein
HLLCJJMH_00345	CDS	849	icaB	3.5.1.-		Poly-beta-1,6-N-acetyl-D-glucosamine N-deacetylase
HLLCJJMH_00346	CDS	825	xerC_1			Tyrosine recombinase XerC
HLLCJJMH_00347	CDS	1044	add	3.5.4.4	COG1816	Adenosine deaminase
HLLCJJMH_00348	CDS	1941	oatA	2.3.1.-	COG1835	Peptidoglycan O-acetyltransferase OatA
HLLCJJMH_00349	CDS	753				hypothetical protein
HLLCJJMH_00350	CDS	1695	cla-hy	4.2.1.-		Linoleate hydratase
HLLCJJMH_00351	CDS	585	spsB_1	3.4.21.89		Signal peptidase IB
HLLCJJMH_00352	CDS	393	cdd	3.5.4.5	COG0295	Cytidine deaminase
HLLCJJMH_00353	CDS	240				hypothetical protein
HLLCJJMH_00354	CDS	624				hypothetical protein
HLLCJJMH_00355	CDS	1332	xylP_1			Isoprimeverose transporter
HLLCJJMH_00356	CDS	522	yagU		COG3477	Inner membrane protein YagU
HLLCJJMH_00357	CDS	2277	uvrA_1			UvrABC system protein A
HLLCJJMH_00358	CDS	390				hypothetical protein
HLLCJJMH_00359	CDS	1542				hypothetical protein
HLLCJJMH_00360	CDS	1338				hypothetical protein
HLLCJJMH_00361	CDS	663	opuCD		COG1174	Glycine betaine/carnitine/choline transport system permease protein OpuCD
HLLCJJMH_00362	CDS	933	opuCC		COG1732	Glycine betaine/carnitine/choline-binding protein OpuCC
HLLCJJMH_00363	CDS	627	opuCB			Carnitine transport permease protein OpuCB
HLLCJJMH_00364	CDS	1206	opuCA	7.6.2.9		Carnitine transport ATP-binding protein OpuCA
HLLCJJMH_00365	CDS	480				hypothetical protein
HLLCJJMH_00366	CDS	1230	sbnD_1		COG2814	Staphyloferrin B transporter
HLLCJJMH_00367	CDS	954	dyp	1.11.1.7	COG2837	Dye-decolorizing peroxidase
HLLCJJMH_00368	CDS	1167	patB	4.4.1.13	COG1168	Cystathionine beta-lyase PatB
HLLCJJMH_00369	CDS	858				hypothetical protein
HLLCJJMH_00370	CDS	2049				hypothetical protein
HLLCJJMH_00371	CDS	1020	ykoT_1	2.4.-.-	COG0463	putative glycosyltransferase YkoT
HLLCJJMH_00372	CDS	1350				hypothetical protein
HLLCJJMH_00373	CDS	642				hypothetical protein
HLLCJJMH_00374	CDS	1173				hypothetical protein
HLLCJJMH_00375	CDS	1476				hypothetical protein
HLLCJJMH_00376	CDS	660			COG1136	putative ABC transporter ATP-binding protein
HLLCJJMH_00377	CDS	1638	malL_1	3.2.1.10	COG0366	Oligo-1,6-glucosidase
HLLCJJMH_00378	CDS	462				hypothetical protein
HLLCJJMH_00379	CDS	753	pnuC_1			Nicotinamide riboside transporter PnuC
HLLCJJMH_00380	CDS	918				hypothetical protein
HLLCJJMH_00381	CDS	1761	pox5	1.2.3.3	COG0028	Pyruvate oxidase
HLLCJJMH_00382	CDS	420				hypothetical protein
HLLCJJMH_00383	CDS	249				hypothetical protein
