Gene,Non-unique Gene name,Annotation,No. isolates,No. sequences,Avg sequences per isolate,Genome Fragment,Order within Fragment,Accessory Fragment,Accessory Order with Fragment,QC,Min group size nuc,Max group size nuc,Avg group size nuc,45709_F01_Reference,ASM167680v1_TraditionalKoreanKimichi,ASM211732v1_BrewerySurface,ASM211734v1_WheatBeer,ASM276217v1_FemaleGut,ASM3988027v1_TenebrioMolitorFeces,ASM5041081v1_TomatoeFruit,ASM622820v1_BeerKeg,ASM622828v1_Beer,LBPURC4201_assembly_Sourdough
group_3072,,hypothetical protein,10,10,1.0,1,4627,,,,576,615,579.9,JECDCPOO_01864,KDAEOHOB_02136,OPNKAGHI_00665,KAHEJOMD_01992,HMEEEBGO_02577,KGEHKDDB_01908,GMGKJONF_01959,HLLCJJMH_01954,BMKFACGC_01973,FHDKMCMF_01250
lplJ_2,lplJ_2,Lipoate-protein ligase LplJ,10,10,1.0,1,4626,,,,1020,1020,1020.0,JECDCPOO_01762,KDAEOHOB_02029,OPNKAGHI_00765,KAHEJOMD_01889,HMEEEBGO_02688,KGEHKDDB_01801,GMGKJONF_01857,HLLCJJMH_01846,BMKFACGC_01867,FHDKMCMF_01362
group_3071,,hypothetical protein,10,10,1.0,1,4625,,,,894,927,897.3,JECDCPOO_01126,KDAEOHOB_01393,OPNKAGHI_01497,KAHEJOMD_01260,HMEEEBGO_00552,KGEHKDDB_01118,GMGKJONF_01171,HLLCJJMH_01167,BMKFACGC_01435,FHDKMCMF_01976
fabZ_1~~~fabZ_2,fabZ_1;fabZ_2,3-hydroxyacyl-[acyl-carrier-protein] dehydratase FabZ,10,10,1.0,1,4624,,,,411,411,411.0,JECDCPOO_01088,KDAEOHOB_01362,OPNKAGHI_01533,KAHEJOMD_01229,HMEEEBGO_00584,KGEHKDDB_01087,GMGKJONF_01139,HLLCJJMH_01136,BMKFACGC_01470,FHDKMCMF_02008
agrA,agrA,Accessory gene regulator A,10,10,1.0,1,4622,,,,681,756,748.5,JECDCPOO_00184,KDAEOHOB_00440,OPNKAGHI_02490,KAHEJOMD_00219,HMEEEBGO_01619,KGEHKDDB_00182,GMGKJONF_00208,HLLCJJMH_00226,BMKFACGC_00204,FHDKMCMF_00397
pduO_2~~~pduO_1,pduO_2;pduO_1,Corrinoid adenosyltransferase PduO,10,10,1.0,1,4621,,,,417,507,476.4,JECDCPOO_01710,KDAEOHOB_01957,OPNKAGHI_00817,KAHEJOMD_01838,HMEEEBGO_02742,KGEHKDDB_01753,GMGKJONF_01809,HLLCJJMH_01794,BMKFACGC_01820,FHDKMCMF_01412
group_3069,,hypothetical protein,10,10,1.0,1,4620,,,,1242,1242,1242.0,JECDCPOO_00172,KDAEOHOB_00428,OPNKAGHI_02502,KAHEJOMD_00207,HMEEEBGO_01631,KGEHKDDB_00170,GMGKJONF_00195,HLLCJJMH_00214,BMKFACGC_00192,FHDKMCMF_00409
argP~~~metR,argP;;metR,HTH-type transcriptional regulator ArgP;hypothetical protein;HTH-type transcriptional regulator MetR,10,11,1.1,1,4619,,,,462,909,827.7272727272727,JECDCPOO_02232,KDAEOHOB_02477,OPNKAGHI_00306,KAHEJOMD_02361,HMEEEBGO_02135,KGEHKDDB_02252,GMGKJONF_02317;GMGKJONF_02318,HLLCJJMH_02336,BMKFACGC_02326,FHDKMCMF_00903
group_3068,,hypothetical protein,10,10,1.0,1,4618,,,,945,945,945.0,JECDCPOO_00081,KDAEOHOB_00334,OPNKAGHI_00092,KAHEJOMD_00100,HMEEEBGO_01738,KGEHKDDB_00076,GMGKJONF_00103,HLLCJJMH_00121,BMKFACGC_00094,FHDKMCMF_00503
group_3065,,hypothetical protein,10,10,1.0,1,4614,,,,447,447,447.0,JECDCPOO_01991,KDAEOHOB_02262,OPNKAGHI_00531,KAHEJOMD_02129,HMEEEBGO_02375,KGEHKDDB_02039,GMGKJONF_02097,HLLCJJMH_02087,BMKFACGC_02107,FHDKMCMF_01118
hgdH,hgdH,(R)-2-hydroxyglutarate dehydrogenase,10,10,1.0,1,4613,,,,882,1002,990.0,JECDCPOO_00220,KDAEOHOB_00476,OPNKAGHI_02449,KAHEJOMD_00258,HMEEEBGO_01582,KGEHKDDB_00219,GMGKJONF_00252,HLLCJJMH_00263,BMKFACGC_00241,FHDKMCMF_00360
araD_1,araD_1,L-ribulose-5-phosphate 4-epimerase,10,10,1.0,1,4612,,,,606,729,716.7,JECDCPOO_01853,KDAEOHOB_02120,OPNKAGHI_00676,KAHEJOMD_01981,HMEEEBGO_02596,KGEHKDDB_01892,GMGKJONF_01948,HLLCJJMH_01937,BMKFACGC_01960,FHDKMCMF_01270
rpoE,rpoE,putative DNA-directed RNA polymerase subunit delta,10,10,1.0,1,4611,,,,624,669,664.5,JECDCPOO_00525,KDAEOHOB_00785,OPNKAGHI_02131,KAHEJOMD_00563,HMEEEBGO_01272,KGEHKDDB_00524,GMGKJONF_00559,HLLCJJMH_00569,BMKFACGC_00563,FHDKMCMF_00054
arlR_1~~~arlR_2,arlR_1;arlR_2,Response regulator ArlR,10,10,1.0,1,4609,,,,663,687,684.6,JECDCPOO_00999,KDAEOHOB_01274,OPNKAGHI_01628,KAHEJOMD_01140,HMEEEBGO_00673,KGEHKDDB_00998,GMGKJONF_01051,HLLCJJMH_01047,BMKFACGC_01563,FHDKMCMF_02097
group_3064,,hypothetical protein,10,10,1.0,1,4608,,,,270,270,270.0,JECDCPOO_00027,KDAEOHOB_00282,OPNKAGHI_00025,KAHEJOMD_00027,HMEEEBGO_01795,KGEHKDDB_00024,GMGKJONF_00027,HLLCJJMH_00024,BMKFACGC_00024,FHDKMCMF_00583
group_3063,,Multidrug efflux system ATP-binding protein,10,10,1.0,1,4607,,,,894,894,894.0,JECDCPOO_00153,KDAEOHOB_00409,OPNKAGHI_02522,KAHEJOMD_00179,HMEEEBGO_01658,KGEHKDDB_00151,GMGKJONF_00176,HLLCJJMH_00195,BMKFACGC_00165,FHDKMCMF_00428
stp_3~~~stp_1,stp_3;;stp_1,Multidrug resistance protein Stp;hypothetical protein,10,11,1.1,1,4605,,,,819,1716,1534.909090909091,JECDCPOO_00192,KDAEOHOB_00448,OPNKAGHI_02482;OPNKAGHI_02481,KAHEJOMD_00227,HMEEEBGO_01611,KGEHKDDB_00190,GMGKJONF_00216,HLLCJJMH_00234,BMKFACGC_00212,FHDKMCMF_00389
xylP_5~~~xylP_4,xylP_5;xylP_4,Isoprimeverose transporter,10,10,1.0,1,4604,,,,1329,1380,1374.9,JECDCPOO_02336,KDAEOHOB_00082,OPNKAGHI_00204,KAHEJOMD_02455,HMEEEBGO_01993,KGEHKDDB_02363,GMGKJONF_02403,HLLCJJMH_02442,BMKFACGC_02425,FHDKMCMF_00802
murQ,murQ,N-acetylmuramic acid 6-phosphate etherase,10,10,1.0,1,4603,,,,741,909,892.2,JECDCPOO_01438,KDAEOHOB_01778,OPNKAGHI_01174,KAHEJOMD_01587,HMEEEBGO_00100,KGEHKDDB_01510,GMGKJONF_01559,HLLCJJMH_01610,BMKFACGC_01131,FHDKMCMF_01662
lspA,lspA,Lipoprotein signal peptidase,10,10,1.0,1,4602,,,,465,525,477.0,JECDCPOO_01198,KDAEOHOB_01459,OPNKAGHI_01420,KAHEJOMD_01330,HMEEEBGO_00485,KGEHKDDB_01184,GMGKJONF_01239,HLLCJJMH_01233,BMKFACGC_01395,FHDKMCMF_01910
group_3062,,hypothetical protein,10,10,1.0,1,4601,,,,345,420,382.5,JECDCPOO_01196,KDAEOHOB_01457,OPNKAGHI_01423,KAHEJOMD_01328,HMEEEBGO_00487,KGEHKDDB_01182,GMGKJONF_01237,HLLCJJMH_01231,BMKFACGC_01397,FHDKMCMF_01912
group_3061,,hypothetical protein,10,10,1.0,1,4600,,,,396,903,852.3,JECDCPOO_02030,KDAEOHOB_02296,OPNKAGHI_00501,KAHEJOMD_02167,HMEEEBGO_02338,KGEHKDDB_02076,GMGKJONF_02130,HLLCJJMH_02129,BMKFACGC_02150,FHDKMCMF_01081
def_2,def_2,Peptide deformylase,10,10,1.0,1,4598,,,,276,411,397.5,JECDCPOO_02105,KDAEOHOB_02373,OPNKAGHI_00424,KAHEJOMD_02244,HMEEEBGO_02262,KGEHKDDB_02152,GMGKJONF_02208,HLLCJJMH_02206,BMKFACGC_02231,FHDKMCMF_01003
pcp,pcp,Pyrrolidone-carboxylate peptidase,10,10,1.0,1,4597,,,,615,615,615.0,JECDCPOO_02130,KDAEOHOB_02377,OPNKAGHI_00420,KAHEJOMD_02248,HMEEEBGO_02258,KGEHKDDB_02156,GMGKJONF_02212,HLLCJJMH_02210,BMKFACGC_02236,FHDKMCMF_00999
msrA_2,msrA_2,Peptide methionine sulfoxide reductase MsrA,10,10,1.0,1,4596,,,,528,531,529.8,JECDCPOO_01312,KDAEOHOB_01576,OPNKAGHI_01301,KAHEJOMD_01462,HMEEEBGO_00368,KGEHKDDB_01305,GMGKJONF_01351,HLLCJJMH_01371,BMKFACGC_01267,FHDKMCMF_01785
degV_2~~~degV_3,degV_2;degV_3,Protein DegV,10,10,1.0,1,4594,,,,711,864,848.7,JECDCPOO_01488,KDAEOHOB_01829,OPNKAGHI_01111,KAHEJOMD_01638,HMEEEBGO_00049,KGEHKDDB_01561,GMGKJONF_01611,HLLCJJMH_01662,BMKFACGC_01080,FHDKMCMF_01611
menH_1~~~menH_3,menH_1;menH_3,2-succinyl-6-hydroxy-24-cyclohexadiene-1-carboxylate synthase,10,10,1.0,1,4593,,,,849,945,935.4,JECDCPOO_02264,KDAEOHOB_02510,OPNKAGHI_00273,KAHEJOMD_02394,HMEEEBGO_02103,KGEHKDDB_02280,GMGKJONF_02345,HLLCJJMH_02369,BMKFACGC_02363,FHDKMCMF_00875
group_3057,,hypothetical protein,10,10,1.0,1,4591,,,,630,660,657.0,JECDCPOO_00255,KDAEOHOB_00513,OPNKAGHI_02409,KAHEJOMD_00292,HMEEEBGO_01547,KGEHKDDB_00253,GMGKJONF_00288,HLLCJJMH_00298,BMKFACGC_00282,FHDKMCMF_00326
pduH~~~ddrB,pduH;ddrB,Propanediol dehydratase-reactivating factor small subunit;Diol dehydratase-reactivating factor small subunit,10,10,1.0,1,4590,,,,354,354,354.0,JECDCPOO_01717,KDAEOHOB_01964,OPNKAGHI_00810,KAHEJOMD_01845,HMEEEBGO_02735,KGEHKDDB_01760,GMGKJONF_01816,HLLCJJMH_01801,BMKFACGC_01827,FHDKMCMF_01405
mnmE,mnmE,tRNA modification GTPase MnmE,10,10,1.0,1,4588,,,,1314,1395,1386.9,JECDCPOO_02500,KDAEOHOB_00254,OPNKAGHI_02654,KAHEJOMD_02624,HMEEEBGO_01827,KGEHKDDB_02543,GMGKJONF_02579,HLLCJJMH_02640,BMKFACGC_02620,FHDKMCMF_00612
group_3056,,hypothetical protein,10,10,1.0,1,4587,,,,1032,1032,1032.0,JECDCPOO_00615,KDAEOHOB_00874,OPNKAGHI_02033,KAHEJOMD_00657,HMEEEBGO_01179,KGEHKDDB_00625,GMGKJONF_00652,HLLCJJMH_00666,BMKFACGC_00658,FHDKMCMF_02470
group_3055,lysN_1;lysN_2,2-aminoadipate transaminase,10,10,1.0,1,4586,,,,1107,1212,1201.5,JECDCPOO_02417,KDAEOHOB_00171,OPNKAGHI_00140,KAHEJOMD_02539,HMEEEBGO_01910,KGEHKDDB_02446,GMGKJONF_02492,HLLCJJMH_02515,BMKFACGC_02529,FHDKMCMF_00714
guaA_1~~~guaA_2,guaA_1;guaA_2,GMP synthase [glutamine-hydrolyzing],10,10,1.0,1,4585,,,,675,675,675.0,JECDCPOO_02415,KDAEOHOB_00169,OPNKAGHI_00142,KAHEJOMD_02537,HMEEEBGO_01912,KGEHKDDB_02444,GMGKJONF_02490,HLLCJJMH_02518,BMKFACGC_02522,FHDKMCMF_00716
group_3052,,hypothetical protein,10,10,1.0,1,4582,,,,399,735,699.0,JECDCPOO_00016,KDAEOHOB_00274,OPNKAGHI_00018,KAHEJOMD_00016,HMEEEBGO_01805,KGEHKDDB_00016,GMGKJONF_00017,HLLCJJMH_00016,BMKFACGC_00016,FHDKMCMF_00591
group_3051,,hypothetical protein,10,10,1.0,1,4581,,,,804,804,804.0,JECDCPOO_00178,KDAEOHOB_00434,OPNKAGHI_02496,KAHEJOMD_00213,HMEEEBGO_01625,KGEHKDDB_00176,GMGKJONF_00201,HLLCJJMH_00220,BMKFACGC_00198,FHDKMCMF_00403
group_3049,,hypothetical protein,10,10,1.0,1,4579,,,,549,549,549.0,JECDCPOO_01668,KDAEOHOB_01915,OPNKAGHI_00863,KAHEJOMD_01796,HMEEEBGO_02785,KGEHKDDB_01712,GMGKJONF_01767,HLLCJJMH_01753,BMKFACGC_01777,FHDKMCMF_01453
pcrA,pcrA,ATP-dependent DNA helicase PcrA,10,10,1.0,1,4578,,,,2172,2253,2244.9,JECDCPOO_01734,KDAEOHOB_01981,OPNKAGHI_00793,KAHEJOMD_01862,HMEEEBGO_02718,KGEHKDDB_01777,GMGKJONF_01834,HLLCJJMH_01818,BMKFACGC_01844,FHDKMCMF_01387
copY,copY,Transcriptional repressor CopY,10,10,1.0,1,4577,,,,447,447,447.0,JECDCPOO_00295,KDAEOHOB_00554,OPNKAGHI_02362,KAHEJOMD_00327,HMEEEBGO_01508,KGEHKDDB_00293,GMGKJONF_00323,HLLCJJMH_00339,BMKFACGC_00327,FHDKMCMF_00286
group_3045,,hypothetical protein,10,10,1.0,1,4573,,,,201,231,204.0,JECDCPOO_01660,KDAEOHOB_01907,OPNKAGHI_00872,KAHEJOMD_01788,HMEEEBGO_02793,KGEHKDDB_01704,GMGKJONF_01758,HLLCJJMH_01745,BMKFACGC_01769,FHDKMCMF_01461
group_3043,,hypothetical protein,10,10,1.0,1,4571,,,,105,105,105.0,JECDCPOO_02075,KDAEOHOB_02343,OPNKAGHI_00451,KAHEJOMD_02213,HMEEEBGO_02292,KGEHKDDB_02122,GMGKJONF_02178,HLLCJJMH_02175,BMKFACGC_02197,FHDKMCMF_01036
recU,recU,Holliday junction resolvase RecU,10,10,1.0,1,4570,,,,588,606,604.2,JECDCPOO_01177,KDAEOHOB_01442,OPNKAGHI_01438,KAHEJOMD_01313,HMEEEBGO_00502,KGEHKDDB_01167,GMGKJONF_01222,HLLCJJMH_01216,BMKFACGC_01412,FHDKMCMF_01927
group_3042,ywnA_1,Putative HTH-type transcriptional regulator YwnA,10,10,1.0,1,4569,,,,444,444,444.0,JECDCPOO_00406,KDAEOHOB_00663,OPNKAGHI_02248,KAHEJOMD_00437,HMEEEBGO_01397,KGEHKDDB_00403,GMGKJONF_00438,HLLCJJMH_00449,BMKFACGC_00444,FHDKMCMF_00176
group_3039,,hypothetical protein,10,10,1.0,1,4566,,,,294,324,297.0,JECDCPOO_01528,KDAEOHOB_01869,OPNKAGHI_01076,KAHEJOMD_01746,HMEEEBGO_02835,KGEHKDDB_01662,GMGKJONF_01716,HLLCJJMH_01703,BMKFACGC_01630,FHDKMCMF_01503
rplL,rplL,Large ribosomal subunit protein bL12,10,10,1.0,1,4565,,,,369,369,369.0,JECDCPOO_00636,KDAEOHOB_00895,OPNKAGHI_02012,KAHEJOMD_00682,HMEEEBGO_01158,KGEHKDDB_00646,GMGKJONF_00673,HLLCJJMH_00688,BMKFACGC_00679,FHDKMCMF_02449
pdhI,;pdhI,hypothetical protein;Pyruvate dehydrogenase inhibitor,10,10,1.0,1,4564,,,,186,309,296.7,JECDCPOO_01012,KDAEOHOB_01287,OPNKAGHI_01613,KAHEJOMD_01153,HMEEEBGO_00660,KGEHKDDB_01011,GMGKJONF_01064,HLLCJJMH_01060,BMKFACGC_01550,FHDKMCMF_02084
mutM,mutM,Formamidopyrimidine-DNA glycosylase,10,10,1.0,1,4563,,,,849,861,859.8,JECDCPOO_00975,KDAEOHOB_01250,OPNKAGHI_01652,KAHEJOMD_01117,HMEEEBGO_00697,KGEHKDDB_00974,GMGKJONF_01027,HLLCJJMH_01023,BMKFACGC_01591,FHDKMCMF_02121
fpgS,fpgS,Folylpolyglutamate synthase,10,10,1.0,1,4562,,,,1197,1323,1310.4,JECDCPOO_00833,KDAEOHOB_01114,OPNKAGHI_01795,KAHEJOMD_00977,HMEEEBGO_00926,KGEHKDDB_00838,GMGKJONF_00888,HLLCJJMH_00887,BMKFACGC_00913,FHDKMCMF_02257
