query	subject	%pident	alignment_length	mismatches	gap_opens	qstart	qend	sstart	send	e-value	bitscore	function
00000009|gene_cluster_GC_00004032|genome_name_P3351_Finger_millet_BE|gene_callers_id_2301	sp|Q8EXQ7|COBDQ_LEPIN	29.670	364	244	8	5	362	6	363	4.88e-48	177	sp|Q8EXQ7|COBDQ_LEPIN Adenosylcobalamin biosynthesis bifunctional protein CobDQ OS=Leptospira interrogans serogroup Icterohaemorrhagiae serovar Lai (strain 56601) OX=189518 GN=cobDQ PE=3 SV=2
00000009|gene_cluster_GC_00004032|genome_name_P3351_Finger_millet_BE|gene_callers_id_2301	sp|O28255|HIS82_ARCFU	27.893	337	224	8	19	353	21	340	1.63e-37	140	sp|O28255|HIS82_ARCFU Histidinol-phosphate aminotransferase 2 OS=Archaeoglobus fulgidus (strain ATCC 49558 / DSM 4304 / JCM 9628 / NBRC 100126 / VC-16) OX=224325 GN=hisC2 PE=3 SV=1
00000016|gene_cluster_GC_00003309|genome_name_P2695_Unknown_BE|gene_callers_id_2259	sp|P71056|EPSG_BACSU	20.661	242	172	6	120	356	135	361	4.09e-06	52.0	sp|P71056|EPSG_BACSU Transmembrane protein EpsG OS=Bacillus subtilis (strain 168) OX=224308 GN=epsG PE=2 SV=1
00000017|gene_cluster_GC_00004106|genome_name_P2500_SD_IT|gene_callers_id_1344	sp|P0AE70|MAZF_ECOLI	32.584	89	51	2	10	98	7	86	3.67e-10	56.2	sp|P0AE70|MAZF_ECOLI Endoribonuclease toxin MazF OS=Escherichia coli (strain K12) OX=83333 GN=mazF PE=1 SV=1
00000017|gene_cluster_GC_00004106|genome_name_P2500_SD_IT|gene_callers_id_1344	sp|P0AE71|MAZF_ECO57	32.584	89	51	2	10	98	7	86	3.67e-10	56.2	sp|P0AE71|MAZF_ECO57 Endoribonuclease MazF OS=Escherichia coli O157:H7 OX=83334 GN=mazF PE=3 SV=1
00000017|gene_cluster_GC_00004106|genome_name_P2500_SD_IT|gene_callers_id_1344	sp|P33647|CHPB_ECOLI	29.825	114	61	4	11	120	8	106	6.75e-05	42.7	sp|P33647|CHPB_ECOLI Endoribonuclease toxin ChpB OS=Escherichia coli (strain K12) OX=83333 GN=chpB PE=1 SV=1
00000019|gene_cluster_GC_00003785|genome_name_P3354_OFSP_BE|gene_callers_id_1908	sp|C0CMQ8|HPR_BLAHS	50.156	321	158	2	1	319	1	321	2.25e-115	339	sp|C0CMQ8|HPR_BLAHS Hydroxypyruvate reductase OS=Blautia hydrogenotrophica (strain DSM 10507 / JCM 14656 / S5a33) OX=476272 GN=hpr PE=1 SV=1
00000019|gene_cluster_GC_00003785|genome_name_P3354_OFSP_BE|gene_callers_id_1908	sp|Q59516|DHGY_METEA	34.146	287	171	3	39	318	37	312	3.15e-54	182	sp|Q59516|DHGY_METEA Glycerate dehydrogenase OS=Methylorubrum extorquens (strain ATCC 14718 / DSM 1338 / JCM 2805 / NCIMB 9133 / AM1) OX=272630 GN=hprA PE=1 SV=3
00000019|gene_cluster_GC_00003785|genome_name_P3354_OFSP_BE|gene_callers_id_1908	sp|Q9YAW4|GYAR_AERPE	35.688	269	165	4	57	319	58	324	2.28e-52	178	sp|Q9YAW4|GYAR_AERPE Glyoxylate reductase OS=Aeropyrum pernix (strain ATCC 700893 / DSM 11879 / JCM 9820 / NBRC 100138 / K1) OX=272557 GN=gyaR PE=3 SV=2
00000019|gene_cluster_GC_00003785|genome_name_P3354_OFSP_BE|gene_callers_id_1908	sp|B1L765|GYAR_KORCO	36.458	288	169	6	40	319	39	320	3.01e-51	175	sp|B1L765|GYAR_KORCO Glyoxylate reductase OS=Korarchaeum cryptofilum (strain OPF8) OX=374847 GN=gyaR PE=3 SV=1
00000019|gene_cluster_GC_00003785|genome_name_P3354_OFSP_BE|gene_callers_id_1908	sp|A1RYE4|GYAR_THEPD	35.069	288	180	4	37	319	38	323	5.52e-50	172	sp|A1RYE4|GYAR_THEPD Glyoxylate reductase OS=Thermofilum pendens (strain DSM 2475 / Hrk 5) OX=368408 GN=gyaR PE=3 SV=1
00000023|gene_cluster_GC_00003637|genome_name_P2928_Oganic_Rye_SD_BE|gene_callers_id_2092	sp|P37746|RFBX_ECOLI	26.699	412	277	7	6	403	10	410	4.79e-26	112	sp|P37746|RFBX_ECOLI Putative O-antigen transporter OS=Escherichia coli (strain K12) OX=83333 GN=rfbX PE=1 SV=4
00000023|gene_cluster_GC_00003637|genome_name_P2928_Oganic_Rye_SD_BE|gene_callers_id_2092	sp|Q03583|RFBX_SHIDY	22.955	379	278	7	20	392	17	387	2.27e-17	87.4	sp|Q03583|RFBX_SHIDY Putative O-antigen transporter OS=Shigella dysenteriae OX=622 GN=rfbX PE=3 SV=1
00000023|gene_cluster_GC_00003637|genome_name_P2928_Oganic_Rye_SD_BE|gene_callers_id_2092	sp|D4GU68|AGL15_HALVD	20.642	218	153	5	193	402	192	397	0.006	42.7	sp|D4GU68|AGL15_HALVD Probable low-salt glycan biosynthesis flippase Agl15 OS=Haloferax volcanii (strain ATCC 29605 / DSM 3757 / JCM 8879 / NBRC 14742 / NCIMB 2012 / VKM B-1768 / DS2) OX=309800 GN=agl15 PE=3 SV=1
00000025|gene_cluster_GC_00003257|genome_name_P2496_SD_IT|gene_callers_id_2405	sp|Q1LKJ2|NODI_CUPMC	34.551	301	180	7	2	287	4	302	9.01e-51	172	sp|Q1LKJ2|NODI_CUPMC Nod factor export ATP-binding protein I OS=Cupriavidus metallidurans (strain ATCC 43123 / DSM 2839 / NBRC 102507 / CH34) OX=266264 GN=nodI PE=3 SV=1
00000025|gene_cluster_GC_00003257|genome_name_P2496_SD_IT|gene_callers_id_2405	sp|Q1BWI2|NODI_BURO1	34.114	299	180	6	3	286	6	302	1.19e-49	169	sp|Q1BWI2|NODI_BURO1 Nod factor export ATP-binding protein I OS=Burkholderia orbicola (strain AU 1054) OX=331271 GN=nodI PE=3 SV=1
00000025|gene_cluster_GC_00003257|genome_name_P2496_SD_IT|gene_callers_id_2405	sp|P0DXG8|DRRA1_STRC4	35.179	307	170	9	3	283	9	312	1.28e-49	170	sp|P0DXG8|DRRA1_STRC4 Daunorubicin resistance ATP-binding protein DrrA1 OS=Streptomyces coeruleorubidus OX=116188 GN=drrA1 PE=1 SV=1
00000025|gene_cluster_GC_00003257|genome_name_P2496_SD_IT|gene_callers_id_2405	sp|P32010|DRRA_STRPE	35.179	307	170	9	3	283	9	312	1.92e-49	169	sp|P32010|DRRA_STRPE Daunorubicin/doxorubicin resistance ATP-binding protein DrrA OS=Streptomyces peucetius OX=1950 GN=drrA PE=1 SV=1
00000025|gene_cluster_GC_00003257|genome_name_P2496_SD_IT|gene_callers_id_2405	sp|Q39GT7|NODI_BURL3	33.667	300	182	7	3	287	6	303	2.05e-49	168	sp|Q39GT7|NODI_BURL3 Nod factor export ATP-binding protein I OS=Burkholderia lata (strain ATCC 17760 / DSM 23089 / LMG 22485 / NCIMB 9086 / R18194 / 383) OX=482957 GN=nodI PE=3 SV=2
00000027|gene_cluster_GC_00004007|genome_name_P2694_LMG_BE|gene_callers_id_1519	sp|P0DXG5|PNBX_NOCS0	35.593	59	38	0	5	63	17	75	1.08e-05	47.8	sp|P0DXG5|PNBX_NOCS0 HTH-type transcriptional repressor PnbX OS=Nocardioides sp. (strain LMS-CY) OX=2840457 GN=pnbX PE=2 SV=1
00000029|gene_cluster_GC_00003433|genome_name_P2694_LMG_BE|gene_callers_id_2292	sp|B1JQ48|FABR_YERPY	34.483	58	36	1	5	62	10	65	0.004	40.0	sp|B1JQ48|FABR_YERPY HTH-type transcriptional repressor FabR OS=Yersinia pseudotuberculosis serotype O:3 (strain YPIII) OX=502800 GN=fabR PE=3 SV=1
00000029|gene_cluster_GC_00003433|genome_name_P2694_LMG_BE|gene_callers_id_2292	sp|Q66G60|FABR_YERPS	34.483	58	36	1	5	62	10	65	0.004	40.0	sp|Q66G60|FABR_YERPS HTH-type transcriptional repressor FabR OS=Yersinia pseudotuberculosis serotype I (strain IP32953) OX=273123 GN=fabR PE=3 SV=2
00000029|gene_cluster_GC_00003433|genome_name_P2694_LMG_BE|gene_callers_id_2292	sp|A4TRG3|FABR_YERPP	34.483	58	36	1	5	62	10	65	0.004	40.0	sp|A4TRG3|FABR_YERPP HTH-type transcriptional repressor FabR OS=Yersinia pestis (strain Pestoides F) OX=386656 GN=fabR PE=3 SV=1
00000029|gene_cluster_GC_00003433|genome_name_P2694_LMG_BE|gene_callers_id_2292	sp|Q1CNP3|FABR_YERPN	34.483	58	36	1	5	62	10	65	0.004	40.0	sp|Q1CNP3|FABR_YERPN HTH-type transcriptional repressor FabR OS=Yersinia pestis bv. Antiqua (strain Nepal516) OX=377628 GN=fabR PE=3 SV=1
00000029|gene_cluster_GC_00003433|genome_name_P2694_LMG_BE|gene_callers_id_2292	sp|A9R6N6|FABR_YERPG	34.483	58	36	1	5	62	10	65	0.004	40.0	sp|A9R6N6|FABR_YERPG HTH-type transcriptional repressor FabR OS=Yersinia pestis bv. Antiqua (strain Angola) OX=349746 GN=fabR PE=3 SV=1
00000031|gene_cluster_GC_00003612|genome_name_P2496_SD_IT|gene_callers_id_1882	sp|P96631|IMMR_BACSU	44.068	59	32	1	8	66	7	64	1.90e-05	42.7	sp|P96631|IMMR_BACSU HTH-type transcriptional regulator ImmR OS=Bacillus subtilis (strain 168) OX=224308 GN=immR PE=1 SV=1
00000031|gene_cluster_GC_00003612|genome_name_P2496_SD_IT|gene_callers_id_1882	sp|P0C5S2|Y410_RHIME	32.692	52	35	0	12	63	23	74	3.56e-04	39.7	sp|P0C5S2|Y410_RHIME Uncharacterized HTH-type transcriptional regulator R00410 OS=Rhizobium meliloti (strain 1021) OX=266834 GN=R00410 PE=4 SV=1
00000031|gene_cluster_GC_00003612|genome_name_P2496_SD_IT|gene_callers_id_1882	sp|A6U5H5|Y045_SINMW	32.692	52	35	0	12	63	23	74	3.56e-04	39.7	sp|A6U5H5|Y045_SINMW Uncharacterized HTH-type transcriptional regulator Smed_0045 OS=Sinorhizobium medicae (strain WSM419) OX=366394 GN=Smed_0045 PE=4 SV=1
00000031|gene_cluster_GC_00003612|genome_name_P2496_SD_IT|gene_callers_id_1882	sp|O31943|YONR_BACSU	31.034	58	40	0	8	65	6	63	0.003	36.6	sp|O31943|YONR_BACSU SPbeta prophage-derived uncharacterized HTH-type transcriptional regulator YonR OS=Bacillus subtilis (strain 168) OX=224308 GN=yonR PE=4 SV=1
00000036|gene_cluster_GC_00003451|genome_name_Reference|gene_callers_id_1685	sp|Q8U1Z6|DIPPS_PYRFU	28.090	89	58	2	23	111	238	320	0.007	40.8	sp|Q8U1Z6|DIPPS_PYRFU Bifunctional IPC transferase and DIPP synthase OS=Pyrococcus furiosus (strain ATCC 43587 / DSM 3638 / JCM 8422 / Vc1) OX=186497 GN=PF1058 PE=1 SV=1
00000038|gene_cluster_GC_00004029|genome_name_Reference|gene_callers_id_1537	sp|Q9P9T5|Y1569_XYLFA	25.532	282	164	13	55	301	46	316	3.79e-09	61.6	sp|Q9P9T5|Y1569_XYLFA Uncharacterized protein XF_1569/XF_1674 OS=Xylella fastidiosa (strain 9a5c) OX=160492 GN=XF_1569 PE=4 SV=1
00000044|gene_cluster_GC_00004129|genome_name_P2694_LMG_BE|gene_callers_id_1518	sp|P9WG88|EMRB_MYCTO	30.353	425	287	5	2	421	32	452	1.55e-54	194	sp|P9WG88|EMRB_MYCTO Multidrug resistance protein B homolog OS=Mycobacterium tuberculosis (strain CDC 1551 / Oshkosh) OX=83331 GN=emrB PE=3 SV=1
00000044|gene_cluster_GC_00004129|genome_name_P2694_LMG_BE|gene_callers_id_1518	sp|P9WG89|EMRB_MYCTU	30.588	425	286	5	2	421	32	452	1.21e-51	186	sp|P9WG89|EMRB_MYCTU Multidrug resistance protein B homolog OS=Mycobacterium tuberculosis (strain ATCC 25618 / H37Rv) OX=83332 GN=emrB PE=3 SV=1
00000044|gene_cluster_GC_00004129|genome_name_P2694_LMG_BE|gene_callers_id_1518	sp|P54585|YHCA_BACSU	29.252	441	290	8	3	434	5	432	1.66e-51	186	sp|P54585|YHCA_BACSU Uncharacterized MFS-type transporter YhcA OS=Bacillus subtilis (strain 168) OX=224308 GN=yhcA PE=3 SV=2
00000044|gene_cluster_GC_00004129|genome_name_P2694_LMG_BE|gene_callers_id_1518	sp|P94422|YCNB_BACSU	26.087	437	317	4	5	441	6	436	1.37e-45	169	sp|P94422|YCNB_BACSU Uncharacterized MFS-type transporter YcnB OS=Bacillus subtilis (strain 168) OX=224308 GN=ycnB PE=3 SV=1
00000044|gene_cluster_GC_00004129|genome_name_P2694_LMG_BE|gene_callers_id_1518	sp|O35018|LMRB_BACSU	27.384	409	288	5	26	430	30	433	1.39e-39	152	sp|O35018|LMRB_BACSU Lincomycin resistance protein LmrB OS=Bacillus subtilis (strain 168) OX=224308 GN=lmrB PE=3 SV=1
00000045|gene_cluster_GC_00003987|genome_name_P2500_SD_IT|gene_callers_id_2334	sp|O88037|RAMC_STRCO	22.505	551	355	20	1	508	378	899	3.84e-15	82.4	sp|O88037|RAMC_STRCO Probable SapB synthase OS=Streptomyces coelicolor (strain ATCC BAA-471 / A3(2) / M145) OX=100226 GN=ramC PE=1 SV=1
00000049|gene_cluster_GC_00004022|genome_name_P2928_Oganic_Rye_SD_BE|gene_callers_id_2263	sp|P32153|FRVX_ECOLI	37.500	40	25	0	2	41	310	349	2.43e-04	38.9	sp|P32153|FRVX_ECOLI Putative aminopeptidase FrvX OS=Escherichia coli (strain K12) OX=83333 GN=frvX PE=3 SV=1
00000052|gene_cluster_GC_00003287|genome_name_Reference|gene_callers_id_1532	sp|A7XXC2|CAPSD_BP234	22.041	245	165	8	86	311	110	347	0.001	44.3	sp|A7XXC2|CAPSD_BP234 Major capsid protein OS=Thermus virus P23-45 OX=2914006 GN=P23p89 PE=1 SV=1
00000053|gene_cluster_GC_00003604|genome_name_P2496_SD_IT|gene_callers_id_2235	sp|P37783|RFBG_SHIFL	30.612	245	152	7	17	253	1	235	2.09e-22	98.2	sp|P37783|RFBG_SHIFL dTDP-rhamnosyl transferase RfbG OS=Shigella flexneri OX=623 GN=rfbG PE=3 SV=1
00000053|gene_cluster_GC_00003604|genome_name_P2496_SD_IT|gene_callers_id_2235	sp|B5L3F2|WFGD_ECOLX	29.012	162	98	5	13	174	6	150	1.72e-10	63.9	sp|B5L3F2|WFGD_ECOLX UDP-Glc:alpha-D-GlcNAc-diphosphoundecaprenol beta-1,3-glucosyltransferase WfgD OS=Escherichia coli OX=562 GN=wfgD PE=1 SV=1
00000053|gene_cluster_GC_00003604|genome_name_P2496_SD_IT|gene_callers_id_2235	sp|P64864|Y1547_MYCBO	24.779	226	142	9	13	229	1	207	1.23e-08	59.3	sp|P64864|Y1547_MYCBO Uncharacterized protein Mb1547 OS=Mycobacterium bovis (strain ATCC BAA-935 / AF2122/97) OX=233413 GN=BQ2027_MB1547 PE=4 SV=1
00000053|gene_cluster_GC_00003604|genome_name_P2496_SD_IT|gene_callers_id_2235	sp|P9WLV5|Y1520_MYCTU	24.779	226	142	9	13	229	1	207	1.23e-08	59.3	sp|P9WLV5|Y1520_MYCTU Uncharacterized protein Rv1520 OS=Mycobacterium tuberculosis (strain ATCC 25618 / H37Rv) OX=83332 GN=Rv1520 PE=1 SV=1
00000053|gene_cluster_GC_00003604|genome_name_P2496_SD_IT|gene_callers_id_2235	sp|P9WLV4|Y1520_MYCTO	24.779	226	142	9	13	229	1	207	1.23e-08	59.3	sp|P9WLV4|Y1520_MYCTO Uncharacterized protein MT1570 OS=Mycobacterium tuberculosis (strain CDC 1551 / Oshkosh) OX=83331 GN=MT1570 PE=4 SV=1
00000055|gene_cluster_GC_00003832|genome_name_P2500_SD_IT|gene_callers_id_1497	sp|Q8R5S4|FTSK_CALS4	25.253	396	255	12	383	769	265	628	2.19e-21	103	sp|Q8R5S4|FTSK_CALS4 DNA translocase FtsK OS=Caldanaerobacter subterraneus subsp. tengcongensis (strain DSM 15242 / JCM 11007 / NBRC 100824 / MB4) OX=273068 GN=ftsK PE=3 SV=1
00000055|gene_cluster_GC_00003832|genome_name_P2500_SD_IT|gene_callers_id_1497	sp|Q9Z726|FTSK_CHLPN	21.991	432	310	10	340	762	311	724	4.42e-17	89.7	sp|Q9Z726|FTSK_CHLPN DNA translocase FtsK OS=Chlamydia pneumoniae OX=83558 GN=ftsK PE=2 SV=1
00000055|gene_cluster_GC_00003832|genome_name_P2500_SD_IT|gene_callers_id_1497	sp|C0SP86|SFTA_BACSU	29.304	273	156	8	446	704	570	819	8.67e-17	89.0	sp|C0SP86|SFTA_BACSU DNA translocase SftA OS=Bacillus subtilis (strain 168) OX=224308 GN=sftA PE=1 SV=1
00000055|gene_cluster_GC_00003832|genome_name_P2500_SD_IT|gene_callers_id_1497	sp|Q9JZG4|FTSK2_NEIMB	28.254	315	158	10	479	761	649	927	6.33e-16	86.3	sp|Q9JZG4|FTSK2_NEIMB DNA translocase FtsK 2 OS=Neisseria meningitidis serogroup B (strain ATCC BAA-335 / MC58) OX=122586 GN=ftsK2 PE=3 SV=1
00000055|gene_cluster_GC_00003832|genome_name_P2500_SD_IT|gene_callers_id_1497	sp|Q0PA12|FTSK_CAMJE	26.377	345	224	9	367	705	493	813	8.86e-16	85.9	sp|Q0PA12|FTSK_CAMJE DNA translocase FtsK OS=Campylobacter jejuni subsp. jejuni serotype O:2 (strain ATCC 700819 / NCTC 11168) OX=192222 GN=ftsK PE=3 SV=1
00000056|gene_cluster_GC_00003752|genome_name_P3351_Finger_millet_BE|gene_callers_id_1436	sp|Q8FVS7|Y3748_BRUSU	27.184	309	184	15	1	291	1	286	6.89e-15	79.3	sp|Q8FVS7|Y3748_BRUSU Putative binding protein BRA0748/BS1330_II0741 OS=Brucella suis biovar 1 (strain 1330) OX=204722 GN=BRA0748 PE=3 SV=1
00000056|gene_cluster_GC_00003752|genome_name_P3351_Finger_millet_BE|gene_callers_id_1436	sp|Q2YKZ9|Y2991_BRUA2	27.184	309	184	15	1	291	1	286	6.89e-15	79.3	sp|Q2YKZ9|Y2991_BRUA2 Putative binding protein BAB2_0491 OS=Brucella abortus (strain 2308) OX=359391 GN=BAB2_0491 PE=3 SV=1
00000056|gene_cluster_GC_00003752|genome_name_P3351_Finger_millet_BE|gene_callers_id_1436	sp|Q578M8|Y2784_BRUAB	27.184	309	184	15	1	291	1	286	6.89e-15	79.3	sp|Q578M8|Y2784_BRUAB Putative binding protein BruAb2_0484 OS=Brucella abortus biovar 1 (strain 9-941) OX=262698 GN=BruAb2_0484 PE=3 SV=1
00000056|gene_cluster_GC_00003752|genome_name_P3351_Finger_millet_BE|gene_callers_id_1436	sp|O07009|GANS_BACSU	26.042	384	249	11	7	373	5	370	2.10e-14	78.2	sp|O07009|GANS_BACSU Galactooligosaccharide-binding protein OS=Bacillus subtilis (strain 168) OX=224308 GN=ganS PE=1 SV=1
00000056|gene_cluster_GC_00003752|genome_name_P3351_Finger_millet_BE|gene_callers_id_1436	sp|Q9K491|DASA_STRCO	26.496	234	149	8	8	227	2	226	2.06e-09	62.8	sp|Q9K491|DASA_STRCO Diacetylchitobiose binding protein DasA OS=Streptomyces coelicolor (strain ATCC BAA-471 / A3(2) / M145) OX=100226 GN=dasA PE=1 SV=1
00000058|gene_cluster_GC_00003500|genome_name_P3351_Finger_millet_BE|gene_callers_id_2276	sp|Q05599|COBU_SALTY	40.104	192	99	3	6	195	4	181	9.54e-38	131	sp|Q05599|COBU_SALTY Bifunctional adenosylcobalamin biosynthesis protein CobU OS=Salmonella typhimurium (strain LT2 / SGSC1412 / ATCC 700720) OX=99287 GN=cobU PE=1 SV=2
00000058|gene_cluster_GC_00003500|genome_name_P3351_Finger_millet_BE|gene_callers_id_2276	sp|P0AE76|COBU_ECOLI	38.021	192	103	3	6	195	4	181	3.22e-34	122	sp|P0AE76|COBU_ECOLI Bifunctional adenosylcobalamin biosynthesis protein CobU OS=Escherichia coli (strain K12) OX=83333 GN=cobU PE=2 SV=1
00000058|gene_cluster_GC_00003500|genome_name_P3351_Finger_millet_BE|gene_callers_id_2276	sp|P0AE77|COBU_ECO57	38.021	192	103	3	6	195	4	181	3.22e-34	122	sp|P0AE77|COBU_ECO57 Bifunctional adenosylcobalamin biosynthesis protein CobU OS=Escherichia coli O157:H7 OX=83334 GN=cobU PE=3 SV=1
00000058|gene_cluster_GC_00003500|genome_name_P3351_Finger_millet_BE|gene_callers_id_2276	sp|P29931|COBP_SINSX	32.124	193	99	5	6	195	10	173	2.12e-22	92.0	sp|P29931|COBP_SINSX Bifunctional adenosylcobalamin biosynthesis protein CobP OS=Sinorhizobium sp. OX=42445 GN=cobP PE=1 SV=3
00000058|gene_cluster_GC_00003500|genome_name_P3351_Finger_millet_BE|gene_callers_id_2276	sp|Q9I466|COBP_PSEAE	31.250	192	104	5	6	195	4	169	8.60e-17	77.4	sp|Q9I466|COBP_PSEAE Bifunctional adenosylcobalamin biosynthesis protein CobP OS=Pseudomonas aeruginosa (strain ATCC 15692 / DSM 22644 / CIP 104116 / JCM 14847 / LMG 12228 / 1C / PRS 101 / PAO1) OX=208964 GN=cobP PE=3 SV=1
00000060|gene_cluster_GC_00003465|genome_name_P3351_Finger_millet_BE|gene_callers_id_1434	sp|P94552|IABF2_BACSU	52.075	482	210	6	15	481	17	492	0.0	526	sp|P94552|IABF2_BACSU Intracellular exo-alpha-L-arabinofuranosidase 2 OS=Bacillus subtilis (strain 168) OX=224308 GN=abf2 PE=1 SV=2
