layers	Reference	P815_Cocoa_CR	P800_Unknown_BE	P363_Unknown_BE	P360_Cocoa_CR	P3378_Banana_BE	P3335_RedCowpea_BE	P3334_WhiteCowpea_BE	P3333_Amaranth_BE	P3124_LMG_BE	P2809_Apricot_BE	P2764_Cocoa_VN	P2763_Cocoa_VN	P2746_Cocoa_VN	P2740_Qu_CN	P2712_SD_BE	P2711_SD_BE	P240_SD_IT	P2176_Unknown_BE	P2052_Cocoa_CR	P2029_Cocoa_CR	P2024_Cocoa_CR	P2020_Cocoa_CR	P187_SD_IT
P2746_Cocoa_VN	1493543.0	1726819.0	1559656.0	1708104.0	1678878.0	1544051.0	1532531.0	1532126.0	1529410.0	1467443.0	1529124.0	1554148.0	1727942.0	1889994.0	1509821.0	1518079.0	1568952.0	1563995.0	1523707.0	1681842.0	1710364.0	1696890.0	1712357.0	1565396.0
P2763_Cocoa_VN	1485492.0	1699132.0	1541896.0	1683767.0	1681472.0	1512104.0	1542458.0	1541981.0	1538933.0	1461894.0	1538818.0	1538224.0	1807185.0	1732832.0	1499132.0	1507812.0	1556943.0	1526553.0	1515378.0	1669718.0	1681160.0	1676224.0	1695288.0	1528150.0
P2764_Cocoa_VN	1616141.0	1588957.0	1629229.0	1573167.0	1594098.0	1658990.0	1607353.0	1605757.0	1602496.0	1575318.0	1602476.0	1896680.0	1551177.0	1577505.0	1605402.0	1641419.0	1626298.0	1599873.0	1577293.0	1576800.0	1578560.0	1568389.0	1610684.0	1601279.0
P2809_Apricot_BE	1582315.0	1564859.0	1673842.0	1548443.0	1587370.0	1625411.0	1960792.0	1961467.0	1961567.0	1579972.0	1962802.0	1586587.0	1549903.0	1546119.0	1556949.0	1619499.0	1774832.0	1762041.0	1676182.0	1541156.0	1567391.0	1542166.0	1571738.0	1762432.0
P3124_LMG_BE	1630205.0	1483742.0	1575696.0	1500227.0	1511807.0	1647180.0	1591962.0	1591184.0	1588547.0	1975526.0	1588903.0	1555513.0	1458454.0	1477825.0	1594374.0	1686642.0	1607100.0	1563249.0	1564816.0	1494699.0	1484235.0	1491271.0	1499693.0	1564160.0
P3333_Amaranth_BE	1591329.0	1564464.0	1672505.0	1551615.0	1587523.0	1627189.0	1960545.0	1961154.0	1962961.0	1581909.0	1959945.0	1593279.0	1549671.0	1544798.0	1562235.0	1614906.0	1771990.0	1760479.0	1671411.0	1545288.0	1563211.0	1544491.0	1568263.0	1760871.0
P3334_WhiteCowpea_BE	1588596.0	1559196.0	1670005.0	1545231.0	1581375.0	1628088.0	1966275.0	1967601.0	1946805.0	1575459.0	1944973.0	1586697.0	1542449.0	1539155.0	1562294.0	1616971.0	1768943.0	1762748.0	1671632.0	1534503.0	1562200.0	1536513.0	1564755.0	1762847.0
P3335_RedCowpea_BE	1588976.0	1556156.0	1662987.0	1540096.0	1571736.0	1619562.0	1968277.0	1965937.0	1946259.0	1571842.0	1945429.0	1583188.0	1537925.0	1533431.0	1556290.0	1620205.0	1764178.0	1758747.0	1669968.0	1528816.0	1553129.0	1530478.0	1564606.0	1759017.0
P3378_Banana_BE	1651203.0	1539491.0	1622945.0	1542734.0	1573352.0	1933140.0	1636994.0	1634431.0	1629053.0	1646184.0	1628943.0	1653196.0	1508463.0	1543959.0	1636340.0	1704259.0	1640385.0	1616172.0	1595943.0	1541967.0	1542395.0	1538006.0	1573784.0	1617322.0
P360_Cocoa_CR	1526013.0	1678422.0	1576215.0	1691609.0	1859275.0	1566343.0	1576167.0	1575768.0	1572995.0	1500261.0	1573803.0	1565961.0	1670191.0	1672328.0	1517090.0	1532446.0	1596206.0	1559690.0	1529786.0	1682954.0	1742148.0	1686283.0	1714736.0	1562780.0
P363_Unknown_BE	1509117.0	1709856.0	1554604.0	1843432.0	1685926.0	1532418.0	1542317.0	1541898.0	1537988.0	1484811.0	1538118.0	1543689.0	1675668.0	1708054.0	1521916.0	1526352.0	1563010.0	1515739.0	1533646.0	1751307.0	1718605.0	1786601.0	1708357.0	1517017.0
P800_Unknown_BE	1584940.0	1569541.0	1932989.0	1557646.0	1582311.0	1613660.0	1673613.0	1672754.0	1668451.0	1564689.0	1669418.0	1599813.0	1542006.0	1572347.0	1542437.0	1601486.0	1764273.0	1717441.0	1663308.0	1558518.0	1569974.0	1553017.0	1606193.0	1717100.0
P815_Cocoa_CR	1502855.0	1920990.0	1563279.0	1711580.0	1681125.0	1536532.0	1560591.0	1559636.0	1552462.0	1472847.0	1552920.0	1563256.0	1687271.0	1726692.0	1522856.0	1536375.0	1596558.0	1535107.0	1533064.0	1695377.0	1706969.0	1706202.0	1708294.0	1537038.0
Reference	1905587.0	1501706.0	1585511.0	1509262.0	1501476.0	1615937.0	1588067.0	1583857.0	1571189.0	1591932.0	1571131.0	1561528.0	1462699.0	1472839.0	1587921.0	1683075.0	1628300.0	1558038.0	1548394.0	1487928.0	1484366.0	1483043.0	1510469.0	1560804.0
